"GSCORE","TRAIT","LGSCORE","MODEL","GC","SNP","CHR","POS","P","SCORE","THRESHOLD","SIGNIFICANCE","ScoresRepl","ScoresSign","ScoreGC","TOOLS"
0.8,"CPulpa.C",0.8,"additive",1,"c2_8431","5",52989126,0.0478630092322638,1.32,4.9,FALSE,108,0,1,"GW,GP,TS,SH"
0.8,"CPulpa.C",0.8,"additive",1,"c2_38551","2",45126593,0.0588843655355589,1.23,4.9,FALSE,108,0,1,"GW,GP,TS,SH"
0.8,"CPulpa.C",0.8,"additive",1,"c2_23254","12",7260563,0.0588843655355589,1.23,4.9,FALSE,108,0,1,"GW,GP,TS,SH"
0.8,"CPulpa.C",0.8,"additive",1,"c2_46708","7",4607422,0.0660693448007596,1.18,4.9,FALSE,108,0,1,"GW,GP,TS,SH"
0.8,"CPulpa.C",0.8,"additive",1,"c2_6185","11",4232240,0.0741310241300918,1.13,4.9,FALSE,108,0,1,"GW,GP,TS,SH"
0.8,"CPulpa.C",0.8,"additive",1,"c1_3476","4",68871390,0.0870963589956081,1.06,4.9,FALSE,108,0,1,"GW,GP,TS,SH"
0.8,"CPulpa.C",0.8,"additive",1,"c2_38552","2",45126722,0.0891250938133746,1.05,4.9,FALSE,108,0,1,"GW,GP,TS,SH"
0.8,"CPulpa.C",0.8,"additive",1,"c1_216","9",36014044,0.0891250938133746,1.05,4.9,FALSE,108,0,1,"GW,GP,TS,SH"
0.8,"CPulpa.C",0.8,"additive",1,"c2_39080","9",1248777,0.102329299228075,0.99,4.9,FALSE,108,0,1,"GW,GP,TS,SH"
0.8,"CPulpa.C",0.8,"additive",1,"c2_14274","1",75053929,0.107151930523761,0.97,4.9,FALSE,108,0,1,"GW,GP,TS,SH"
0.8,"CPulpa.C",0.8,"additive",1,"c2_1092","10",2229320,0.109647819614319,0.96,4.9,FALSE,108,0,1,"GW,GP,TS,SH"
0.8,"CPulpa.C",0.8,"additive",1,"c1_958","9",40062774,0.112201845430196,0.95,4.9,FALSE,108,0,1,"GW,GP,TS,SH"
0.8,"CPulpa.C",0.8,"additive",1,"c2_12789","9",52720097,0.112201845430196,0.95,4.9,FALSE,108,0,1,"GW,GP,TS,SH"
0.8,"CPulpa.C",0.8,"additive",1,"c2_20333","3",47886232,0.114815362149688,0.94,4.9,FALSE,108,0,1,"GW,GP,TS,SH"
0.8,"CPulpa.C",0.8,"additive",1,"c2_10539","4",68952759,0.114815362149688,0.94,4.9,FALSE,108,0,1,"GW,GP,TS,SH"
0.8,"CPulpa.C",0.8,"additive",1,"c2_35592","6",30107444,0.117489755493953,0.93,4.9,FALSE,108,0,1,"GW,GP,TS,SH"
0.8,"CPulpa.C",0.8,"additive",1,"c2_34085","8",34629849,0.123026877081238,0.91,4.9,FALSE,108,0,1,"GW,GP,TS,SH"
0.8,"CPulpa.C",0.8,"additive",1,"c2_10798","4",68309247,0.128824955169313,0.89,4.9,FALSE,108,0,1,"GW,GP,TS,SH"
0.8,"CPulpa.C",0.8,"additive",1,"c2_16777","6",48044220,0.128824955169313,0.89,4.9,FALSE,108,0,1,"GW,GP,TS,SH"
0.8,"CPulpa.C",0.8,"additive",1,"c2_39342","4",61680075,0.131825673855641,0.88,4.9,FALSE,108,0,1,"GW,GP,TS,SH"
0.8,"CPulpa.C",0.8,"additive",1,"c2_22205","11",42339943,0.131825673855641,0.88,4.9,FALSE,108,0,1,"GW,GP,TS,SH"
0.8,"CPulpa.C",0.8,"additive",1,"c2_55199","2",33572556,0.138038426460288,0.86,4.9,FALSE,108,0,1,"GW,GP,TS,SH"
