"Theta_Rows","R_Rows"
"solcap_snp_c1_10528","solcap_snp_c1_10528"
"solcap_snp_c1_10529","solcap_snp_c1_10529"
"solcap_snp_c1_1053","solcap_snp_c1_1053"
"solcap_snp_c1_10539","solcap_snp_c1_10539"
"solcap_snp_c1_10555","solcap_snp_c1_10555"
"solcap_snp_c1_10560","solcap_snp_c1_10560"
"solcap_snp_c1_10569","solcap_snp_c1_10569"
"solcap_snp_c1_10579","solcap_snp_c1_10579"
"solcap_snp_c1_1059","solcap_snp_c1_1059"
"solcap_snp_c1_10590","solcap_snp_c1_10590"
"solcap_snp_c1_10593","solcap_snp_c1_10593"
"solcap_snp_c1_10607","solcap_snp_c1_10607"
"solcap_snp_c1_10646","solcap_snp_c1_10646"
"solcap_snp_c1_10667","solcap_snp_c1_10667"
"solcap_snp_c1_10668","solcap_snp_c1_10668"
"solcap_snp_c1_10669","solcap_snp_c1_10669"
"solcap_snp_c1_10670","solcap_snp_c1_10670"
"solcap_snp_c1_10676","solcap_snp_c1_10676"
"solcap_snp_c1_10677","solcap_snp_c1_10677"
"solcap_snp_c1_10678","solcap_snp_c1_10678"
"solcap_snp_c1_10679","solcap_snp_c1_10679"
"solcap_snp_c1_10711","solcap_snp_c1_10711"
"solcap_snp_c1_10712","solcap_snp_c1_10712"
"solcap_snp_c1_10713","solcap_snp_c1_10713"
"solcap_snp_c1_10714","solcap_snp_c1_10714"
"solcap_snp_c1_10715","solcap_snp_c1_10715"
"solcap_snp_c1_10725","solcap_snp_c1_10725"
"solcap_snp_c1_10737","solcap_snp_c1_10737"
"solcap_snp_c1_10738","solcap_snp_c1_10738"
"solcap_snp_c1_1074","solcap_snp_c1_1074"
"solcap_snp_c1_10743","solcap_snp_c1_10743"
"solcap_snp_c1_10750","solcap_snp_c1_10750"
"solcap_snp_c1_10751","solcap_snp_c1_10751"
"solcap_snp_c1_10761","solcap_snp_c1_10761"
"solcap_snp_c1_10762","solcap_snp_c1_10762"
"solcap_snp_c1_1077","solcap_snp_c1_1077"
"solcap_snp_c1_10777","solcap_snp_c1_10777"
"solcap_snp_c1_10781","solcap_snp_c1_10781"
"solcap_snp_c1_10783","solcap_snp_c1_10783"
"solcap_snp_c1_10788","solcap_snp_c1_10788"
"solcap_snp_c1_108","solcap_snp_c1_108"
"solcap_snp_c1_10825","solcap_snp_c1_10825"
"solcap_snp_c1_10836","solcap_snp_c1_10836"
"solcap_snp_c1_10838","solcap_snp_c1_10838"
"solcap_snp_c1_10855","solcap_snp_c1_10855"
"solcap_snp_c1_10858","solcap_snp_c1_10858"
"solcap_snp_c1_10869","solcap_snp_c1_10869"
"solcap_snp_c1_10873","solcap_snp_c1_10873"
"solcap_snp_c1_10879","solcap_snp_c1_10879"
"solcap_snp_c1_10881","solcap_snp_c1_10881"
"solcap_snp_c1_10885","solcap_snp_c1_10885"
"solcap_snp_c1_10900","solcap_snp_c1_10900"
"solcap_snp_c1_10901","solcap_snp_c1_10901"
"solcap_snp_c1_10903","solcap_snp_c1_10903"
"solcap_snp_c1_10915","solcap_snp_c1_10915"
"solcap_snp_c1_10918","solcap_snp_c1_10918"
"solcap_snp_c1_10920","solcap_snp_c1_10920"
"solcap_snp_c1_10921","solcap_snp_c1_10921"
"solcap_snp_c1_10924","solcap_snp_c1_10924"
"solcap_snp_c1_1093","solcap_snp_c1_1093"
"solcap_snp_c1_10930","solcap_snp_c1_10930"
"solcap_snp_c1_10932","solcap_snp_c1_10932"
"solcap_snp_c1_10934","solcap_snp_c1_10934"
"solcap_snp_c1_10935","solcap_snp_c1_10935"
"solcap_snp_c1_10938","solcap_snp_c1_10938"
"solcap_snp_c1_10939","solcap_snp_c1_10939"
"solcap_snp_c1_1094","solcap_snp_c1_1094"
"solcap_snp_c1_10941","solcap_snp_c1_10941"
"solcap_snp_c1_10958","solcap_snp_c1_10958"
"solcap_snp_c1_10974","solcap_snp_c1_10974"
"solcap_snp_c1_10975","solcap_snp_c1_10975"
"solcap_snp_c1_11","solcap_snp_c1_11"
"solcap_snp_c1_110","solcap_snp_c1_110"
"solcap_snp_c1_11008","solcap_snp_c1_11008"
"solcap_snp_c1_11013","solcap_snp_c1_11013"
"solcap_snp_c1_11023","solcap_snp_c1_11023"
"solcap_snp_c1_11025","solcap_snp_c1_11025"
"solcap_snp_c1_11027","solcap_snp_c1_11027"
"solcap_snp_c1_11030","solcap_snp_c1_11030"
"solcap_snp_c1_11031","solcap_snp_c1_11031"
"solcap_snp_c1_11033","solcap_snp_c1_11033"
"solcap_snp_c1_11066","solcap_snp_c1_11066"
"solcap_snp_c1_1107","solcap_snp_c1_1107"
"solcap_snp_c1_11076","solcap_snp_c1_11076"
"solcap_snp_c1_11078","solcap_snp_c1_11078"
"solcap_snp_c1_11088","solcap_snp_c1_11088"
"solcap_snp_c1_11092","solcap_snp_c1_11092"
"solcap_snp_c1_111","solcap_snp_c1_111"
"solcap_snp_c1_11100","solcap_snp_c1_11100"
"solcap_snp_c1_11117","solcap_snp_c1_11117"
"solcap_snp_c1_11120","solcap_snp_c1_11120"
"solcap_snp_c1_11121","solcap_snp_c1_11121"
"solcap_snp_c1_11122","solcap_snp_c1_11122"
"solcap_snp_c1_11123","solcap_snp_c1_11123"
"solcap_snp_c1_11124","solcap_snp_c1_11124"
"solcap_snp_c1_11126","solcap_snp_c1_11126"
"solcap_snp_c1_11135","solcap_snp_c1_11135"
"solcap_snp_c1_11137","solcap_snp_c1_11137"
"solcap_snp_c1_11139","solcap_snp_c1_11139"
"solcap_snp_c1_11144","solcap_snp_c1_11144"
"solcap_snp_c1_11150","solcap_snp_c1_11150"
"solcap_snp_c1_1116","solcap_snp_c1_1116"
"solcap_snp_c1_11196","solcap_snp_c1_11196"
"solcap_snp_c1_112","solcap_snp_c1_112"
"solcap_snp_c1_11202","solcap_snp_c1_11202"
"solcap_snp_c1_11206","solcap_snp_c1_11206"
"solcap_snp_c1_11210","solcap_snp_c1_11210"
"solcap_snp_c1_11211","solcap_snp_c1_11211"
"solcap_snp_c1_1123","solcap_snp_c1_1123"
"solcap_snp_c1_11237","solcap_snp_c1_11237"
"solcap_snp_c1_11239","solcap_snp_c1_11239"
"solcap_snp_c1_1124","solcap_snp_c1_1124"
"solcap_snp_c1_11242","solcap_snp_c1_11242"
"solcap_snp_c1_11243","solcap_snp_c1_11243"
"solcap_snp_c1_11246","solcap_snp_c1_11246"
"solcap_snp_c1_11247","solcap_snp_c1_11247"
"solcap_snp_c1_1125","solcap_snp_c1_1125"
"solcap_snp_c1_11259","solcap_snp_c1_11259"
"solcap_snp_c1_1126","solcap_snp_c1_1126"
"solcap_snp_c1_11265","solcap_snp_c1_11265"
"solcap_snp_c1_11267","solcap_snp_c1_11267"
"solcap_snp_c1_1127","solcap_snp_c1_1127"
"solcap_snp_c1_11275","solcap_snp_c1_11275"
"solcap_snp_c1_11276","solcap_snp_c1_11276"
"solcap_snp_c1_11288","solcap_snp_c1_11288"
"solcap_snp_c1_11290","solcap_snp_c1_11290"
"solcap_snp_c1_11308","solcap_snp_c1_11308"
"solcap_snp_c1_11319","solcap_snp_c1_11319"
"solcap_snp_c1_11329","solcap_snp_c1_11329"
"solcap_snp_c1_11339","solcap_snp_c1_11339"
"solcap_snp_c1_11344","solcap_snp_c1_11344"
"solcap_snp_c1_11350","solcap_snp_c1_11350"
"solcap_snp_c1_11351","solcap_snp_c1_11351"
"solcap_snp_c1_11352","solcap_snp_c1_11352"
"solcap_snp_c1_11356","solcap_snp_c1_11356"
"solcap_snp_c1_11362","solcap_snp_c1_11362"
"solcap_snp_c1_11363","solcap_snp_c1_11363"
"solcap_snp_c1_11364","solcap_snp_c1_11364"
"solcap_snp_c1_11365","solcap_snp_c1_11365"
"solcap_snp_c1_11391","solcap_snp_c1_11391"
"solcap_snp_c1_11406","solcap_snp_c1_11406"
"solcap_snp_c1_11418","solcap_snp_c1_11418"
"solcap_snp_c1_11442","solcap_snp_c1_11442"
"solcap_snp_c1_11458","solcap_snp_c1_11458"
"solcap_snp_c1_11459","solcap_snp_c1_11459"
"solcap_snp_c1_11473","solcap_snp_c1_11473"
"solcap_snp_c1_11475","solcap_snp_c1_11475"
"solcap_snp_c1_11479","solcap_snp_c1_11479"
"solcap_snp_c1_11485","solcap_snp_c1_11485"
"solcap_snp_c1_11491","solcap_snp_c1_11491"
"solcap_snp_c1_11494","solcap_snp_c1_11494"
"solcap_snp_c1_11495","solcap_snp_c1_11495"
"solcap_snp_c1_11498","solcap_snp_c1_11498"
"solcap_snp_c1_11499","solcap_snp_c1_11499"
"solcap_snp_c1_11502","solcap_snp_c1_11502"
"solcap_snp_c1_11506","solcap_snp_c1_11506"
"solcap_snp_c1_11509","solcap_snp_c1_11509"
"solcap_snp_c1_11517","solcap_snp_c1_11517"
"solcap_snp_c1_11519","solcap_snp_c1_11519"
"solcap_snp_c1_11520","solcap_snp_c1_11520"
"solcap_snp_c1_11521","solcap_snp_c1_11521"
"solcap_snp_c1_11523","solcap_snp_c1_11523"
"solcap_snp_c1_11525","solcap_snp_c1_11525"
"solcap_snp_c1_11534","solcap_snp_c1_11534"
"solcap_snp_c1_11535","solcap_snp_c1_11535"
"solcap_snp_c1_11539","solcap_snp_c1_11539"
"solcap_snp_c1_11540","solcap_snp_c1_11540"
"solcap_snp_c1_11544","solcap_snp_c1_11544"
"solcap_snp_c1_11546","solcap_snp_c1_11546"
"solcap_snp_c1_11552","solcap_snp_c1_11552"
"solcap_snp_c1_11553","solcap_snp_c1_11553"
"solcap_snp_c1_11554","solcap_snp_c1_11554"
"solcap_snp_c1_11556","solcap_snp_c1_11556"
"solcap_snp_c1_11559","solcap_snp_c1_11559"
"solcap_snp_c1_11562","solcap_snp_c1_11562"
"solcap_snp_c1_11572","solcap_snp_c1_11572"
"solcap_snp_c1_11575","solcap_snp_c1_11575"
"solcap_snp_c1_11581","solcap_snp_c1_11581"
"solcap_snp_c1_11596","solcap_snp_c1_11596"
"solcap_snp_c1_11612","solcap_snp_c1_11612"
"solcap_snp_c1_11613","solcap_snp_c1_11613"
"solcap_snp_c1_11626","solcap_snp_c1_11626"
"solcap_snp_c1_1163","solcap_snp_c1_1163"
"solcap_snp_c1_11639","solcap_snp_c1_11639"
"solcap_snp_c1_11644","solcap_snp_c1_11644"
"solcap_snp_c1_11657","solcap_snp_c1_11657"
"solcap_snp_c1_11667","solcap_snp_c1_11667"
"solcap_snp_c1_11668","solcap_snp_c1_11668"
"solcap_snp_c1_11670","solcap_snp_c1_11670"
"solcap_snp_c1_11707","solcap_snp_c1_11707"
"solcap_snp_c1_11709","solcap_snp_c1_11709"
"solcap_snp_c1_11710","solcap_snp_c1_11710"
"solcap_snp_c1_11719","solcap_snp_c1_11719"
"solcap_snp_c1_11722","solcap_snp_c1_11722"
"solcap_snp_c1_11723","solcap_snp_c1_11723"
"solcap_snp_c1_11725","solcap_snp_c1_11725"
"solcap_snp_c1_11730","solcap_snp_c1_11730"
"solcap_snp_c1_11750","solcap_snp_c1_11750"
"solcap_snp_c1_11758","solcap_snp_c1_11758"
"solcap_snp_c1_11769","solcap_snp_c1_11769"
"solcap_snp_c1_11773","solcap_snp_c1_11773"
"solcap_snp_c1_11777","solcap_snp_c1_11777"
"solcap_snp_c1_11778","solcap_snp_c1_11778"
"solcap_snp_c1_11787","solcap_snp_c1_11787"
"solcap_snp_c1_11791","solcap_snp_c1_11791"
"solcap_snp_c1_11801","solcap_snp_c1_11801"
"solcap_snp_c1_11802","solcap_snp_c1_11802"
"solcap_snp_c1_11804","solcap_snp_c1_11804"
"solcap_snp_c1_11806","solcap_snp_c1_11806"
"solcap_snp_c1_11807","solcap_snp_c1_11807"
"solcap_snp_c1_11810","solcap_snp_c1_11810"
"solcap_snp_c1_11815","solcap_snp_c1_11815"
"solcap_snp_c1_11840","solcap_snp_c1_11840"
"solcap_snp_c1_11853","solcap_snp_c1_11853"
"solcap_snp_c1_11866","solcap_snp_c1_11866"
"solcap_snp_c1_11867","solcap_snp_c1_11867"
"solcap_snp_c1_11868","solcap_snp_c1_11868"
"solcap_snp_c1_11870","solcap_snp_c1_11870"
"solcap_snp_c1_11892","solcap_snp_c1_11892"
"solcap_snp_c1_11898","solcap_snp_c1_11898"
"solcap_snp_c1_11900","solcap_snp_c1_11900"
"solcap_snp_c1_11907","solcap_snp_c1_11907"
"solcap_snp_c1_11920","solcap_snp_c1_11920"
"solcap_snp_c1_11921","solcap_snp_c1_11921"
"solcap_snp_c1_11922","solcap_snp_c1_11922"
"solcap_snp_c1_11935","solcap_snp_c1_11935"
"solcap_snp_c1_11937","solcap_snp_c1_11937"
"solcap_snp_c1_11948","solcap_snp_c1_11948"
"solcap_snp_c1_1195","solcap_snp_c1_1195"
"solcap_snp_c1_11953","solcap_snp_c1_11953"
"solcap_snp_c1_11955","solcap_snp_c1_11955"
"solcap_snp_c1_11972","solcap_snp_c1_11972"
"solcap_snp_c1_11979","solcap_snp_c1_11979"
"solcap_snp_c1_11985","solcap_snp_c1_11985"
"solcap_snp_c1_11991","solcap_snp_c1_11991"
"solcap_snp_c1_11996","solcap_snp_c1_11996"
"solcap_snp_c1_11997","solcap_snp_c1_11997"
"solcap_snp_c1_11998","solcap_snp_c1_11998"
"solcap_snp_c1_11999","solcap_snp_c1_11999"
"solcap_snp_c1_12003","solcap_snp_c1_12003"
"solcap_snp_c1_12005","solcap_snp_c1_12005"
"solcap_snp_c1_12008","solcap_snp_c1_12008"
"solcap_snp_c1_12014","solcap_snp_c1_12014"
"solcap_snp_c1_12015","solcap_snp_c1_12015"
"solcap_snp_c1_12016","solcap_snp_c1_12016"
"solcap_snp_c1_12021","solcap_snp_c1_12021"
"solcap_snp_c1_12022","solcap_snp_c1_12022"
"solcap_snp_c1_12023","solcap_snp_c1_12023"
"solcap_snp_c1_12024","solcap_snp_c1_12024"
"solcap_snp_c1_12025","solcap_snp_c1_12025"
"solcap_snp_c1_12026","solcap_snp_c1_12026"
"solcap_snp_c1_12027","solcap_snp_c1_12027"
"solcap_snp_c1_12028","solcap_snp_c1_12028"
"solcap_snp_c1_12030","solcap_snp_c1_12030"
"solcap_snp_c1_12031","solcap_snp_c1_12031"
"solcap_snp_c1_12032","solcap_snp_c1_12032"
"solcap_snp_c1_12039","solcap_snp_c1_12039"
"solcap_snp_c1_12051","solcap_snp_c1_12051"
"solcap_snp_c1_12057","solcap_snp_c1_12057"
"solcap_snp_c1_12063","solcap_snp_c1_12063"
"solcap_snp_c1_12064","solcap_snp_c1_12064"
"solcap_snp_c1_12078","solcap_snp_c1_12078"
"solcap_snp_c1_12080","solcap_snp_c1_12080"
"solcap_snp_c1_12082","solcap_snp_c1_12082"
"solcap_snp_c1_12106","solcap_snp_c1_12106"
"solcap_snp_c1_12108","solcap_snp_c1_12108"
"solcap_snp_c1_12114","solcap_snp_c1_12114"
"solcap_snp_c1_12118","solcap_snp_c1_12118"
"solcap_snp_c1_12131","solcap_snp_c1_12131"
"solcap_snp_c1_12139","solcap_snp_c1_12139"
"solcap_snp_c1_12152","solcap_snp_c1_12152"
"solcap_snp_c1_12159","solcap_snp_c1_12159"
"solcap_snp_c1_1216","solcap_snp_c1_1216"
"solcap_snp_c1_12160","solcap_snp_c1_12160"
"solcap_snp_c1_12161","solcap_snp_c1_12161"
"solcap_snp_c1_12162","solcap_snp_c1_12162"
"solcap_snp_c1_12166","solcap_snp_c1_12166"
"solcap_snp_c1_12169","solcap_snp_c1_12169"
"solcap_snp_c1_12178","solcap_snp_c1_12178"
"solcap_snp_c1_12179","solcap_snp_c1_12179"
"solcap_snp_c1_1218","solcap_snp_c1_1218"
"solcap_snp_c1_12180","solcap_snp_c1_12180"
"solcap_snp_c1_12182","solcap_snp_c1_12182"
"solcap_snp_c1_12187","solcap_snp_c1_12187"
"solcap_snp_c1_12189","solcap_snp_c1_12189"
"solcap_snp_c1_1219","solcap_snp_c1_1219"
"solcap_snp_c1_12190","solcap_snp_c1_12190"
"solcap_snp_c1_12208","solcap_snp_c1_12208"
"solcap_snp_c1_12220","solcap_snp_c1_12220"
"solcap_snp_c1_12229","solcap_snp_c1_12229"
"solcap_snp_c1_12234","solcap_snp_c1_12234"
"solcap_snp_c1_12236","solcap_snp_c1_12236"
"solcap_snp_c1_12251","solcap_snp_c1_12251"
"solcap_snp_c1_12256","solcap_snp_c1_12256"
"solcap_snp_c1_12257","solcap_snp_c1_12257"
"solcap_snp_c1_12264","solcap_snp_c1_12264"
"solcap_snp_c1_12287","solcap_snp_c1_12287"
"solcap_snp_c1_12296","solcap_snp_c1_12296"
"solcap_snp_c1_12305","solcap_snp_c1_12305"
"solcap_snp_c1_12310","solcap_snp_c1_12310"
"solcap_snp_c1_12320","solcap_snp_c1_12320"
"solcap_snp_c1_12329","solcap_snp_c1_12329"
"solcap_snp_c1_12330","solcap_snp_c1_12330"
"solcap_snp_c1_12339","solcap_snp_c1_12339"
"solcap_snp_c1_12345","solcap_snp_c1_12345"
"solcap_snp_c1_12354","solcap_snp_c1_12354"
"solcap_snp_c1_12373","solcap_snp_c1_12373"
"solcap_snp_c1_12375","solcap_snp_c1_12375"
"solcap_snp_c1_12377","solcap_snp_c1_12377"
"solcap_snp_c1_12381","solcap_snp_c1_12381"
"solcap_snp_c1_12382","solcap_snp_c1_12382"
"solcap_snp_c1_12386","solcap_snp_c1_12386"
"solcap_snp_c1_12406","solcap_snp_c1_12406"
"solcap_snp_c1_12409","solcap_snp_c1_12409"
"solcap_snp_c1_12414","solcap_snp_c1_12414"
"solcap_snp_c1_12419","solcap_snp_c1_12419"
"solcap_snp_c1_12420","solcap_snp_c1_12420"
"solcap_snp_c1_12424","solcap_snp_c1_12424"
"solcap_snp_c1_12439","solcap_snp_c1_12439"
"solcap_snp_c1_12440","solcap_snp_c1_12440"
"solcap_snp_c1_12441","solcap_snp_c1_12441"
"solcap_snp_c1_12442","solcap_snp_c1_12442"
"solcap_snp_c1_12443","solcap_snp_c1_12443"
"solcap_snp_c1_12444","solcap_snp_c1_12444"
"solcap_snp_c1_12445","solcap_snp_c1_12445"
"solcap_snp_c1_12446","solcap_snp_c1_12446"
"solcap_snp_c1_12447","solcap_snp_c1_12447"
"solcap_snp_c1_12448","solcap_snp_c1_12448"
"solcap_snp_c1_12449","solcap_snp_c1_12449"
"solcap_snp_c1_12454","solcap_snp_c1_12454"
"solcap_snp_c1_12455","solcap_snp_c1_12455"
"solcap_snp_c1_12456","solcap_snp_c1_12456"
"solcap_snp_c1_1249","solcap_snp_c1_1249"
"solcap_snp_c1_1250","solcap_snp_c1_1250"
"solcap_snp_c1_12508","solcap_snp_c1_12508"
"solcap_snp_c1_12509","solcap_snp_c1_12509"
"solcap_snp_c1_1251","solcap_snp_c1_1251"
"solcap_snp_c1_1252","solcap_snp_c1_1252"
"solcap_snp_c1_12564","solcap_snp_c1_12564"
"solcap_snp_c1_12584","solcap_snp_c1_12584"
"solcap_snp_c1_12588","solcap_snp_c1_12588"
"solcap_snp_c1_12597","solcap_snp_c1_12597"
"solcap_snp_c1_12619","solcap_snp_c1_12619"
"solcap_snp_c1_1264","solcap_snp_c1_1264"
"solcap_snp_c1_12644","solcap_snp_c1_12644"
"solcap_snp_c1_12685","solcap_snp_c1_12685"
"solcap_snp_c1_12691","solcap_snp_c1_12691"
"solcap_snp_c1_12702","solcap_snp_c1_12702"
"solcap_snp_c1_1271","solcap_snp_c1_1271"
"solcap_snp_c1_12728","solcap_snp_c1_12728"
"solcap_snp_c1_12745","solcap_snp_c1_12745"
"solcap_snp_c1_12749","solcap_snp_c1_12749"
"solcap_snp_c1_12751","solcap_snp_c1_12751"
"solcap_snp_c1_12771","solcap_snp_c1_12771"
"solcap_snp_c1_12786","solcap_snp_c1_12786"
"solcap_snp_c1_12797","solcap_snp_c1_12797"
"solcap_snp_c1_12798","solcap_snp_c1_12798"
"solcap_snp_c1_12802","solcap_snp_c1_12802"
"solcap_snp_c1_12821","solcap_snp_c1_12821"
"solcap_snp_c1_12825","solcap_snp_c1_12825"
"solcap_snp_c1_12835","solcap_snp_c1_12835"
"solcap_snp_c1_12858","solcap_snp_c1_12858"
"solcap_snp_c1_1286","solcap_snp_c1_1286"
"solcap_snp_c1_12877","solcap_snp_c1_12877"
"solcap_snp_c1_12887","solcap_snp_c1_12887"
"solcap_snp_c1_12895","solcap_snp_c1_12895"
"solcap_snp_c1_12896","solcap_snp_c1_12896"
"solcap_snp_c1_12899","solcap_snp_c1_12899"
"solcap_snp_c1_129","solcap_snp_c1_129"
"solcap_snp_c1_12912","solcap_snp_c1_12912"
"solcap_snp_c1_12922","solcap_snp_c1_12922"
"solcap_snp_c1_12926","solcap_snp_c1_12926"
"solcap_snp_c1_12938","solcap_snp_c1_12938"
"solcap_snp_c1_12945","solcap_snp_c1_12945"
"solcap_snp_c1_12966","solcap_snp_c1_12966"
"solcap_snp_c1_12976","solcap_snp_c1_12976"
"solcap_snp_c1_12978","solcap_snp_c1_12978"
"solcap_snp_c1_12981","solcap_snp_c1_12981"
"solcap_snp_c1_13006","solcap_snp_c1_13006"
"solcap_snp_c1_1301","solcap_snp_c1_1301"
"solcap_snp_c1_13017","solcap_snp_c1_13017"
"solcap_snp_c1_13025","solcap_snp_c1_13025"
"solcap_snp_c1_1304","solcap_snp_c1_1304"
"solcap_snp_c1_13043","solcap_snp_c1_13043"
"solcap_snp_c1_13052","solcap_snp_c1_13052"
"solcap_snp_c1_13059","solcap_snp_c1_13059"
"solcap_snp_c1_13066","solcap_snp_c1_13066"
"solcap_snp_c1_13068","solcap_snp_c1_13068"
"solcap_snp_c1_13077","solcap_snp_c1_13077"
"solcap_snp_c1_13079","solcap_snp_c1_13079"
"solcap_snp_c1_13085","solcap_snp_c1_13085"
"solcap_snp_c1_13099","solcap_snp_c1_13099"
"solcap_snp_c1_13116","solcap_snp_c1_13116"
"solcap_snp_c1_13124","solcap_snp_c1_13124"
"solcap_snp_c1_13125","solcap_snp_c1_13125"
"solcap_snp_c1_13135","solcap_snp_c1_13135"
"solcap_snp_c1_13155","solcap_snp_c1_13155"
"solcap_snp_c1_13166","solcap_snp_c1_13166"
"solcap_snp_c1_13172","solcap_snp_c1_13172"
"solcap_snp_c1_1318","solcap_snp_c1_1318"
"solcap_snp_c1_13186","solcap_snp_c1_13186"
"solcap_snp_c1_13187","solcap_snp_c1_13187"
"solcap_snp_c1_13189","solcap_snp_c1_13189"
"solcap_snp_c1_13229","solcap_snp_c1_13229"
"solcap_snp_c1_1323","solcap_snp_c1_1323"
"solcap_snp_c1_13230","solcap_snp_c1_13230"
"solcap_snp_c1_13233","solcap_snp_c1_13233"
"solcap_snp_c1_13236","solcap_snp_c1_13236"
"solcap_snp_c1_13240","solcap_snp_c1_13240"
"solcap_snp_c1_13243","solcap_snp_c1_13243"
"solcap_snp_c1_13246","solcap_snp_c1_13246"
"solcap_snp_c1_13268","solcap_snp_c1_13268"
"solcap_snp_c1_13289","solcap_snp_c1_13289"
"solcap_snp_c1_13293","solcap_snp_c1_13293"
"solcap_snp_c1_13296","solcap_snp_c1_13296"
"solcap_snp_c1_13304","solcap_snp_c1_13304"
"solcap_snp_c1_1331","solcap_snp_c1_1331"
"solcap_snp_c1_13318","solcap_snp_c1_13318"
"solcap_snp_c1_13349","solcap_snp_c1_13349"
"solcap_snp_c1_13378","solcap_snp_c1_13378"
"solcap_snp_c1_13385","solcap_snp_c1_13385"
"solcap_snp_c1_13395","solcap_snp_c1_13395"
"solcap_snp_c1_13396","solcap_snp_c1_13396"
"solcap_snp_c1_1341","solcap_snp_c1_1341"
