Samples,CTallo.L,CTallo.C,CTallo.H,CPFlor.L,CPFlor.C,CPFlor.H,CBaya.L,CBaya.C,CBaya.H,CPTuber.L,CPTuber.C,CPTuber.H,CSTuber.L,CSTuber.C,CSTuber.H,CPulpa.L,CPulpa.C,CPulpa.H,CSPulpa.L,CSPulpa.C,CSPulpa.H,CPBrote.L,CPBrote.C,CPBrote.H,CSBrote.L,CSBrote.C,CSBrote.H
15061641,54,44,117,54,49,320,54,44,117,30,28,345,82,35,93,94,5,52,31,33,344,59,48,315,96,7,318
15061330,54,44,117,43,58,322,62,43,124,40,35,16,75,41,96,84,26,94,42,43,344,39,57,339,94,4,41
15061626,28,16,359,36,39,321,54,44,117,29,8,313,80,42,96,92,6,71,27,22,344,26,20,307,96,7,318
15062147,54,44,117,33,34,316,69,59,106,42,37,18,50,37,53,92,6,71,42,26,346,39,53,346,96,7,318
15061487,28,6,23,42,39,319,53,38,132,30,16,3,80,42,96,92,6,71,42,36,318,26,20,307,96,7,318
15060536,54,44,117,67,36,319,54,44,117,81,32,84,50,35,86,84,18,90,41,33,316,47,59,350,95,7,318
15061261,54,44,117,52,45,305,69,59,106,80,41,86,50,29,17,80,42,96,42,34,345,33,34,316,95,7,318
15061389,28,16,359,45,57,327,66,48,118,30,11,328,76,47,85,84,18,90,27,33,344,48,45,302,94,4,41
15060101,54,44,117,89,8,95,53,38,132,50,26,342,80,42,96,92,6,71,27,23,333,26,20,307,95,7,318
15061397,54,44,117,92,6,71,53,38,132,50,26,342,74,37,74,84,26,94,33,33,344,58,42,304,96,7,318
15061551,54,44,117,45,57,327,66,48,132,80,41,86,50,29,17,92,6,71,42,36,345,48,58,336,94,4,41
15061539,54,44,117,43,58,322,54,44,117,75,35,83,27,22,344,84,18,90,30,28,345,43,40,309,96,7,318
15062115,28,16,359,54,49,320,66,48,118,80,42,96,29,8,313,84,18,90,29,36,345,49,42,312,94,4,41
15061361,54,44,117,43,58,322,54,44,117,34,28,21,75,35,83,84,18,90,31,22,316,26,20,307,96,7,318
15061669,54,44,117,52,55,328,58,32,112,76,47,85,42,37,18,92,6,71,42,37,345,48,58,336,96,7,318
15062359,54,44,117,66,36,309,54,44,117,76,47,85,46,36,33,84,18,90,41,33,344,33,26,314,94,4,41
15061690,28,6,23,36,55,329,54,44,117,29,8,313,79,36,83,84,18,90,42,36,346,33,26,314,94,4,41
15061308,28,6,23,57,46,323,54,44,117,29,8,313,80,42,83,82,35,93,33,34,316,27,28,306,95,7,318
15062372,54,44,117,65,35,303,54,44,117,28,16,359,75,35,83,84,26,94,41,37,342,27,28,306,96,7,318
15061342,54,44,117,42,39,319,69,59,106,35,29,17,80,42,96,84,18,90,41,33,346,27,28,306,96,7,318
15061281,54,44,117,41,60,332,50,28,115,42,37,18,80,42,96,92,6,71,42,38,316,54,49,320,96,7,318
15061932,54,44,117,57,46,323,58,45,128,80,42,96,42,29,96,92,6,71,42,36,345,52,45,330,94,4,41
15061370,54,44,117,36,55,329,54,44,117,41,37,12,80,41,86,84,18,90,37,39,346,48,58,336,96,7,318
15061630,28,16,359,41,58,318,62,43,124,28,11,318,80,42,96,80,42,96,27,22,344,26,20,307,96,7,318
15061789,54,44,117,63,40,326,44,26,115,80,41,86,54,32,41,92,6,71,37,36,346,52,55,328,94,4,41
15061666,28,16,359,36,55,329,66,48,118,79,36,83,28,11,318,92,6,71,27,34,344,33,34,316,94,4,41
15062143,28,16,359,43,58,312,54,44,117,38,32,14,80,42,96,84,18,90,30,23,316,26,20,307,94,4,41
15061297,54,44,117,43,58,312,54,44,117,29,8,313,76,47,85,89,8,95,28,11,318,26,20,307,96,7,318
15061907,66,48,118,89,8,95,44,26,116,80,42,96,27,8,96,84,26,94,27,38,324,94,4,41,48,58,336
15061538,28,16,359,42,39,319,54,44,118,30,11,328,76,47,85,92,6,71,27,22,344,54,39,308,94,4,41
15062371,54,44,117,43,58,322,66,48,118,75,35,83,43,33,10,92,6,71,42,33,344,36,39,321,96,7,318
15061685,49,21,132,54,49,320,71,50,115,38,32,14,75,33,80,84,26,94,27,33,333,27,28,306,96,7,318
15062081,28,6,23,54,39,308,71,50,115,27,19,5,82,25,345,84,18,90,29,36,344,26,20,307,96,7,318
15061969,54,44,117,70,31,304,44,26,116,80,41,86,50,29,17,92,6,71,42,36,346,33,26,314,94,4,41
15061498,28,6,23,33,34,316,54,44,117,29,8,313,80,41,86,84,18,90,43,42,346,33,26,314,96,7,318
15061271,54,44,117,43,58,312,62,43,124,30,11,328,80,42,96,92,3,32,42,36,346,26,20,307,96,7,318
15062344,54,44,117,36,55,329,72,45,106,30,29,7,80,42,96,84,18,90,30,28,321,26,20,307,96,7,318
15061279,54,44,117,54,49,320,54,44,117,35,29,17,73,42,96,84,26,94,42,22,346,33,26,314,39,53,346
15062144,28,16,359,54,49,320,58,45,128,30,16,3,80,42,96,84,18,90,42,36,346,28,35,303,96,7,318
15061722,54,44,117,48,40,314,69,59,106,27,19,5,81,32,84,92,6,71,37,43,331,45,57,327,94,4,41
15061768,54,44,117,43,58,322,66,48,118,43,33,10,79,36,83,92,6,71,27,33,328,36,49,301,96,7,318
15061557,54,44,117,59,48,315,50,28,115,40,35,16,80,42,96,84,18,90,37,37,331,26,20,307,95,7,344
15061434,28,16,359,54,49,320,44,26,116,35,29,17,80,42,85,84,18,90,50,58,12,39,53,346,96,7,318
15060072,54,44,117,49,57,317,71,50,115,70,40,42,75,35,83,84,26,94,27,33,344,43,53,306,95,5,344
15061405,54,44,117,58,45,310,50,28,115,42,36,346,75,35,86,92,6,71,31,36,322,26,20,307,94,4,41
15062052,54,44,117,36,55,329,69,59,106,43,39,17,80,41,86,84,26,94,33,22,324,30,28,345,95,7,318
15062098,54,44,117,54,49,320,66,48,118,39,28,22,76,47,85,84,18,90,42,42,316,48,58,336,94,4,41
15061916,54,44,117,36,39,321,58,32,112,27,19,5,75,35,83,84,18,90,43,55,12,26,20,307,96,4,344
15061377,54,44,117,52,45,305,54,44,117,76,47,85,42,37,18,84,26,94,41,38,324,48,58,336,94,4,41
15061633,28,16,359,49,57,317,54,44,117,79,36,83,79,36,83,92,6,71,30,28,345,43,40,309,94,4,41
15061702,28,6,23,43,55,327,50,28,115,45,42,0,79,36,83,84,18,90,30,22,344,27,28,306,96,7,318
15061614,54,44,117,54,49,320,54,44,117,39,28,22,82,30,83,92,6,71,42,36,346,31,33,324,96,7,318
15061368,54,44,117,52,45,305,69,59,106,53,24,40,28,16,359,84,26,94,27,28,344,26,20,307,96,7,318
15061520,54,44,117,43,58,322,50,28,115,39,28,22,80,41,86,82,35,93,30,22,345,43,38,334,94,4,41
15060082,54,44,117,36,39,321,44,26,116,80,42,96,27,22,344,92,6,71,30,36,344,26,20,307,94,4,41
15061656,53,38,132,66,36,309,58,45,128,42,36,346,82,26,80,92,6,71,27,33,324,41,42,316,95,5,344
15061331,54,44,117,53,43,320,54,44,117,60,35,53,48,39,21,92,6,71,42,36,333,33,34,316,96,7,318
15061327,54,44,117,63,40,326,54,44,117,41,37,12,80,42,96,92,6,71,50,38,346,26,20,307,96,7,318
15062074,54,44,117,70,31,304,54,44,117,80,41,86,50,26,342,92,3,32,27,33,344,26,20,307,94,4,41
15061300,54,44,117,43,58,322,58,32,112,80,42,96,30,11,328,88,10,96,27,36,346,27,28,306,94,4,41
15061776,54,44,117,52,45,305,54,44,117,76,47,85,50,29,17,92,6,71,42,36,344,33,26,314,96,7,318
15061462,54,44,117,43,40,309,72,45,115,76,47,85,27,22,344,88,10,96,27,36,333,48,45,302,96,7,318
15061302,54,44,117,31,33,324,66,48,118,30,11,328,80,42,96,84,26,94,33,36,321,27,28,306,94,4,41
15061957,54,44,117,67,41,314,50,28,115,38,32,14,76,41,86,92,6,71,29,36,12,43,58,322,96,7,318
15061514,54,44,117,66,36,309,66,48,118,42,37,18,80,41,86,84,18,90,30,28,346,26,20,307,96,7,318
15060909,54,44,117,61,43,319,54,44,117,82,35,93,42,37,18,92,6,71,41,28,344,27,26,338,94,4,41
15062063,54,44,117,36,39,321,66,48,118,27,19,5,29,8,313,84,18,90,37,26,331,26,20,307,94,4,41
15060090,54,44,117,41,60,332,66,48,118,42,36,346,81,32,84,94,5,52,31,28,344,26,20,307,95,7,318
15061301,54,44,117,43,58,322,54,44,117,38,32,14,80,42,96,84,18,90,42,36,346,33,26,314,36,47,352
15061423,54,44,117,54,49,320,54,44,117,35,29,17,80,41,86,92,6,71,31,28,346,31,33,324,94,4,41
15061453,28,16,359,43,58,322,50,28,115,29,8,313,80,42,96,84,18,90,30,36,344,43,40,309,94,4,41
15060215,54,44,117,45,57,327,54,44,117,35,36,85,80,41,86,92,6,71,31,22,345,31,33,324,95,7,318
15062119,28,16,359,43,58,312,66,48,118,29,8,313,75,35,83,92,6,71,42,36,346,26,20,307,94,4,41
15061537,54,44,117,92,6,71,71,50,115,50,29,17,82,30,83,84,26,94,27,28,345,54,39,308,94,4,41
15061667,28,16,359,58,45,310,62,43,124,39,28,22,75,25,17,84,18,90,41,33,346,26,20,307,96,7,318
15062123,54,44,117,58,45,310,54,44,117,75,35,83,42,37,18,92,6,71,42,33,344,26,20,307,96,7,344
15061710,28,16,359,45,57,327,69,59,106,29,8,313,74,36,85,80,42,96,30,28,345,26,20,307,96,7,318
15061258,28,16,359,53,43,320,54,44,117,30,11,328,80,41,86,92,3,32,29,23,333,26,20,307,95,5,344
15061443,54,44,117,53,43,320,71,50,115,76,47,85,43,39,17,84,18,90,41,33,344,57,53,344,94,4,41
15060050,54,44,117,54,49,320,50,28,115,80,28,67,34,34,8,92,6,71,42,33,346,45,57,327,95,7,318
15060110,28,16,359,36,55,329,54,44,117,28,16,359,76,47,85,92,6,71,27,22,344,26,20,307,95,5,344
15062053,54,44,117,45,57,327,53,38,132,40,35,16,80,41,86,92,6,71,30,28,344,52,45,330,95,7,318
15061764,54,44,117,31,33,324,66,48,118,75,35,83,30,16,3,84,26,94,43,33,344,26,20,307,96,7,318
15061799,28,16,359,45,57,327,50,28,115,34,34,8,29,8,313,84,18,90,30,33,331,26,20,307,95,5,41
