"GSCORE","TRAIT","LGSCORE","MODEL","GC","SNP","CHR","POS","P","SCORE","THRESHOLD","SIGNIFICANCE","ScoresRepl","ScoresSign","ScoreGC","TOOLS"
0.864,"CSPulpa.H",0.864,"additive",0.842,"c2_29450","3",5231620,5.59e-16,15.252588,4.896857,TRUE,81,1,0.842,"GW,GP,SH"
0.864,"CSPulpa.H",0.864,"additive",0.842,"c2_13628","11",38340411,7.76e-15,14.110138,4.896857,TRUE,81,1,0.842,"GW,GP,SH"
0.864,"CSPulpa.H",0.864,"additive",0.842,"c2_21915","4",5978666,3.28e-14,13.484126,4.896857,TRUE,81,1,0.842,"GW,GP,SH"
0.864,"CSPulpa.H",0.864,"additive",0.842,"c2_12405","7",53517936,1.87e-10,9.728158,4.896857,TRUE,81,1,0.842,"GW,GP,SH"
0.864,"CSPulpa.H",0.864,"additive",0.842,"c2_2551","1",78177940,2.79e-10,9.554396,4.896857,TRUE,81,1,0.842,"GW,GP,SH"
0.864,"CSPulpa.H",0.864,"additive",0.842,"c1_730","1",78044268,1.07e-09,8.970616,4.896857,TRUE,81,1,0.842,"GW,GP,SH"
0.864,"CSPulpa.H",0.864,"additive",0.842,"c2_38555","2",45126941,3.42e-09,8.465974,4.896857,TRUE,81,1,0.842,"GW,GP,SH"
0.864,"CSPulpa.H",0.864,"additive",0.842,"c2_18964","0",45998630,7.47e-09,8.126679,4.896857,TRUE,81,1,0.842,"GW,GP,SH"
0.864,"CSPulpa.H",0.864,"additive",0.842,"c2_2571","1",78284593,1.32e-08,7.879426,4.896857,TRUE,81,1,0.842,"GW,GP,SH"
0.864,"CSPulpa.H",0.864,"additive",0.842,"c2_39220","9",2606808,1.56e-08,7.806875,4.896857,TRUE,81,1,0.842,"GW,GP,SH"
0.864,"CSPulpa.H",0.864,"additive",0.842,"c1_12564","4",61951232,4.47e-08,7.349692,4.896857,TRUE,81,1,0.842,"GW,GP,SH"
0.864,"CSPulpa.H",0.864,"additive",0.842,"c2_42756","7",53172895,1.14e-07,6.943095,4.896857,TRUE,81,1,0.842,"GW,GP,SH"
0.864,"CSPulpa.H",0.864,"additive",0.842,"c2_14589","1",67677246,1.15e-06,5.939302,4.896857,TRUE,81,1,0.842,"GW,GP,SH"
0.864,"CSPulpa.H",0.864,"additive",0.842,"c2_42807","7",53249056,1.31e-06,5.882729,4.896857,TRUE,81,1,0.842,"GW,GP,SH"
0.864,"CSPulpa.H",0.864,"additive",0.842,"c1_3241","1",82422668,1.73e-06,5.761954,4.896857,TRUE,81,1,0.842,"GW,GP,SH"
0.864,"CSPulpa.H",0.864,"additive",0.842,"c2_14609","1",67743305,3.55e-06,5.449772,4.896857,TRUE,81,1,0.842,"GW,GP,SH"
0.864,"CSPulpa.H",0.864,"additive",0.842,"c1_1341","9",4558118,9.57e-06,5.019088,4.896857,TRUE,81,1,0.842,"GW,GP,SH"
