"","BASE","GSCORE","TRAIT","LGSCORE","TOOL","MODEL","GC","SNP","CHR","POS","P","SCORE","THRESHOLD","SIGNIFICANCE","ScoresRepl","ScoresSign","ScoreGC"
"48","CPBrote",0.52,"CPBrote.H",0.523,"TASSEL","additive",0.605,"c2_48155",1,7834894,0.002520273095899,2.598552,4.294025,FALSE,78,0,0.605
"49","CPBrote",0.52,"CPBrote.H",0.523,"TASSEL","additive",0.605,"c2_53521",1,12643802,0.00463262905253635,2.334172,4.294025,FALSE,78,0,0.605
"50","CPBrote",0.52,"CPBrote.H",0.523,"TASSEL","additive",0.605,"c2_52704",1,9095607,0.0133822758043134,1.87347,4.294025,FALSE,78,0,0.605
"51","CPBrote",0.52,"CPBrote.H",0.523,"TASSEL","additive",0.605,"c2_49042",1,10922797,0.0396875889035519,1.401345,4.294025,FALSE,78,0,0.605
"52","CPBrote",0.52,"CPBrote.H",0.523,"TASSEL","additive",0.605,"c2_36660",1,808325,0.0887131094007093,1.052012,4.294025,FALSE,78,0,0.605
"53","CPBrote",0.52,"CPBrote.H",0.523,"TASSEL","additive",0.605,"c2_45071",1,6103001,0.12026303326543,0.919868,4.294025,FALSE,78,0,0.605
"54","CPBrote",0.52,"CPBrote.H",0.523,"TASSEL","additive",0.605,"c2_686",1,14805485,0.172172914030773,0.764035,4.294025,FALSE,78,0,0.605
"55","CPBrote",0.52,"CPBrote.H",0.523,"TASSEL","additive",0.605,"c2_40131",1,53444045,0.340133294994658,0.468351,4.294025,FALSE,78,0,0.605
"56","CPBrote",0.52,"CPBrote.H",0.523,"TASSEL","additive",0.605,"c1_8619",1,7252495,0.363090920683221,0.439985,4.294025,FALSE,78,0,0.605
"57","CPBrote",0.52,"CPBrote.H",0.523,"TASSEL","additive",0.605,"c2_23713",0,389554,0.465303946320576,0.332263,4.294025,FALSE,78,0,0.605
"58","CPBrote",0.52,"CPBrote.H",0.523,"TASSEL","additive",0.605,"c2_53708",1,54264723,0.4667381276566,0.330927,4.294025,FALSE,78,0,0.605
"59","CPBrote",0.52,"CPBrote.H",0.523,"TASSEL","additive",0.605,"c1_10369",1,44964138,0.501452510224209,0.29977,4.294025,FALSE,78,0,0.605
"60","CPBrote",0.52,"CPBrote.H",0.523,"TASSEL","additive",0.605,"c2_6674",0,28132116,0.523649048093973,0.28096,4.294025,FALSE,78,0,0.605
"61","CPBrote",0.52,"CPBrote.H",0.523,"TASSEL","additive",0.605,"c2_36664",1,809153,0.65838121998369,0.181523,4.294025,FALSE,78,0,0.605
"62","CPBrote",0.52,"CPBrote.H",0.523,"TASSEL","additive",0.605,"c2_55012",1,5654532,0.709965818039803,0.148763,4.294025,FALSE,78,0,0.605
"63","CPBrote",0.52,"CPBrote.H",0.523,"TASSEL","additive",0.605,"c2_27903",1,7192782,0.744834469842629,0.12794,4.294025,FALSE,78,0,0.605
"64","CPBrote",0.52,"CPBrote.H",0.523,"TASSEL","additive",0.605,"c2_54811",1,52996601,0.747551951188811,0.126359,4.294025,FALSE,78,0,0.605
"65","CPBrote",0.52,"CPBrote.H",0.523,"TASSEL","additive",0.605,"c2_54797",1,992483,0.809406244807403,0.091833,4.294025,FALSE,78,0,0.605
"66","CPBrote",0.52,"CPBrote.H",0.523,"TASSEL","additive",0.605,"c2_54624",0,20391837,0.850192336681722,0.070483,4.294025,FALSE,78,0,0.605
"67","CPBrote",0.52,"CPBrote.H",0.523,"TASSEL","additive",0.605,"c2_57678",0,50463795,0.852376748703823,0.069368,4.294025,FALSE,78,0,0.605
"68","CPBrote",0.52,"CPBrote.H",0.523,"TASSEL","additive",0.605,"c2_21332",0,21225651,0.857197969207385,0.066919,4.294025,FALSE,78,0,0.605
"69","CPBrote",0.52,"CPBrote.H",0.523,"TASSEL","additive",0.605,"c2_4437",0,24387070,0.857197969207385,0.066919,4.294025,FALSE,78,0,0.605
"70","CPBrote",0.519,"CPBrote.H",0.523,"TASSEL","additive",0.605,"c1_12015",5,48976718,0.000137307440773348,3.862306,4.294025,FALSE,77,0,0.605
"71","CPBrote",0.519,"CPBrote.H",0.523,"TASSEL","additive",0.605,"c1_4604",1,75196506,0.00030231405893913,3.519542,4.294025,FALSE,77,0,0.605
"72","CPBrote",0.519,"CPBrote.H",0.523,"TASSEL","additive",0.605,"c1_7964",2,38139240,0.000307163342248887,3.512631,4.294025,FALSE,77,0,0.605
"73","CPBrote",0.519,"CPBrote.H",0.523,"TASSEL","additive",0.605,"c2_19584",4,64858220,0.000355985257005492,3.448568,4.294025,FALSE,77,0,0.605
"74","CPBrote",0.519,"CPBrote.H",0.523,"TASSEL","additive",0.605,"c1_12945",4,55649379,0.000391516435028711,3.40725,4.294025,FALSE,77,0,0.605
"75","CPBrote",0.519,"CPBrote.H",0.523,"TASSEL","additive",0.605,"c2_53273",11,10339933,0.000742597605409329,3.129246,4.294025,FALSE,77,0,0.605
"76","CPBrote",0.519,"CPBrote.H",0.523,"TASSEL","additive",0.605,"c2_22301",6,53614740,0.00320980987863123,2.493521,4.294025,FALSE,77,0,0.605
"77","CPBrote",0.519,"CPBrote.H",0.523,"TASSEL","additive",0.605,"c2_12959",4,66197658,0.00436507514495871,2.360008,4.294025,FALSE,77,0,0.605
"78","CPBrote",0.519,"CPBrote.H",0.523,"TASSEL","additive",0.605,"c2_9039",6,57394760,0.00629911873780083,2.20072,4.294025,FALSE,77,0,0.605
"79","CPBrote",0.519,"CPBrote.H",0.523,"TASSEL","additive",0.605,"c1_4319",11,1240937,0.00932534691257931,2.030335,4.294025,FALSE,77,0,0.605
"80","CPBrote",0.519,"CPBrote.H",0.523,"TASSEL","additive",0.605,"c2_36882",7,3150451,0.0106720792232031,1.971751,4.294025,FALSE,77,0,0.605
"81","CPBrote",0.519,"CPBrote.H",0.523,"TASSEL","additive",0.605,"c2_11479",4,7767497,0.0143656678224868,1.842674,4.294025,FALSE,77,0,0.605
"82","CPBrote",0.519,"CPBrote.H",0.523,"TASSEL","additive",0.605,"c2_36053",4,56746443,0.016363724455019,1.786118,4.294025,FALSE,77,0,0.605
"83","CPBrote",0.519,"CPBrote.H",0.523,"TASSEL","additive",0.605,"c1_3074",6,57334590,0.0166365804025593,1.778936,4.294025,FALSE,77,0,0.605
"84","CPBrote",0.519,"CPBrote.H",0.523,"TASSEL","additive",0.605,"c2_23846",5,814688,0.0240073154472216,1.619656,4.294025,FALSE,77,0,0.605
"85","CPBrote",0.519,"CPBrote.H",0.523,"TASSEL","additive",0.605,"c2_17896",2,34459585,0.0249608438757338,1.602741,4.294025,FALSE,77,0,0.605
"86","CPBrote",0.519,"CPBrote.H",0.523,"TASSEL","additive",0.605,"c2_1092",10,2229320,0.0338570965852984,1.47035,4.294025,FALSE,77,0,0.605
"87","CPBrote",0.519,"CPBrote.H",0.523,"TASSEL","additive",0.605,"c1_11137",6,55716119,0.0380776468199693,1.41933,4.294025,FALSE,77,0,0.605
"88","CPBrote",0.519,"CPBrote.H",0.523,"TASSEL","additive",0.605,"c2_48184",8,44057388,0.0403295111446991,1.394377,4.294025,FALSE,77,0,0.605
"89","CPBrote",0.519,"CPBrote.H",0.523,"TASSEL","additive",0.605,"c2_12953",4,66208806,0.0592495117654121,1.227315,4.294025,FALSE,77,0,0.605
"90","CPBrote",0.519,"CPBrote.H",0.523,"TASSEL","additive",0.605,"c1_14442",4,48648958,0.0713105333282037,1.146846,4.294025,FALSE,77,0,0.605
"91","CPBrote",0.519,"CPBrote.H",0.523,"TASSEL","additive",0.605,"c2_30297",11,44107450,0.095762570876008,1.018804,4.294025,FALSE,77,0,0.605
"92","CPBrote",0.519,"CPBrote.H",0.523,"TASSEL","additive",0.605,"c2_34866",4,65070135,0.100624578391639,0.997296,4.294025,FALSE,77,0,0.605
"93","CPBrote",0.519,"CPBrote.H",0.523,"TASSEL","additive",0.605,"c1_7658",11,7019700,0.102881481489166,0.987663,4.294025,FALSE,77,0,0.605
"94","CPBrote",0.519,"CPBrote.H",0.523,"TASSEL","additive",0.605,"c2_56726",8,54701702,0.107960963152511,0.966733,4.294025,FALSE,77,0,0.605
"95","CPBrote",0.519,"CPBrote.H",0.523,"TASSEL","additive",0.605,"c1_16258",4,11641080,0.119838117781909,0.921405,4.294025,FALSE,77,0,0.605
"96","CPBrote",0.519,"CPBrote.H",0.523,"TASSEL","additive",0.605,"c2_33892",6,49952539,0.132638797447632,0.877329,4.294025,FALSE,77,0,0.605
"97","CPBrote",0.519,"CPBrote.H",0.523,"TASSEL","additive",0.605,"c2_35970",4,67668177,0.146825866071141,0.833197,4.294025,FALSE,77,0,0.605
"98","CPBrote",0.519,"CPBrote.H",0.523,"TASSEL","additive",0.605,"c2_44634",11,21124779,0.155776478732766,0.807498,4.294025,FALSE,77,0,0.605
"99","CPBrote",0.519,"CPBrote.H",0.523,"TASSEL","additive",0.605,"c2_4978",11,25158648,0.155776478732753,0.807498,4.294025,FALSE,77,0,0.605
"100","CPBrote",0.519,"CPBrote.H",0.523,"TASSEL","additive",0.605,"c1_13526",10,48923342,0.156317069953619,0.805994,4.294025,FALSE,77,0,0.605
"101","CPBrote",0.519,"CPBrote.H",0.523,"TASSEL","additive",0.605,"c2_56059",6,38800602,0.163490110844647,0.786509,4.294025,FALSE,77,0,0.605
"102","CPBrote",0.519,"CPBrote.H",0.523,"TASSEL","additive",0.605,"c1_3476",4,68871390,0.171959842738391,0.764573,4.294025,FALSE,77,0,0.605
"103","CPBrote",0.519,"CPBrote.H",0.523,"TASSEL","additive",0.605,"c2_29981",9,62190862,0.176676375248045,0.752822,4.294025,FALSE,77,0,0.605
"104","CPBrote",0.519,"CPBrote.H",0.523,"TASSEL","additive",0.605,"c2_3962",9,4652421,0.180193800856896,0.74426,4.294025,FALSE,77,0,0.605
"105","CPBrote",0.519,"CPBrote.H",0.523,"TASSEL","additive",0.605,"c2_10617",4,68743219,0.189256925638814,0.722948,4.294025,FALSE,77,0,0.605
"106","CPBrote",0.519,"CPBrote.H",0.523,"TASSEL","additive",0.605,"c2_50394",2,33594764,0.203143485919618,0.692197,4.294025,FALSE,77,0,0.605
"107","CPBrote",0.519,"CPBrote.H",0.523,"TASSEL","additive",0.605,"c2_23739",5,487268,0.211322650085363,0.675054,4.294025,FALSE,77,0,0.605
"108","CPBrote",0.519,"CPBrote.H",0.523,"TASSEL","additive",0.605,"c2_23740",5,487360,0.211322650085363,0.675054,4.294025,FALSE,77,0,0.605
"109","CPBrote",0.519,"CPBrote.H",0.523,"TASSEL","additive",0.605,"c2_37329",6,55682080,0.218287909659853,0.66097,4.294025,FALSE,77,0,0.605
"110","CPBrote",0.519,"CPBrote.H",0.523,"TASSEL","additive",0.605,"c1_4847",2,43151687,0.218343991376733,0.660859,4.294025,FALSE,77,0,0.605
"111","CPBrote",0.519,"CPBrote.H",0.523,"TASSEL","additive",0.605,"c1_13482",7,46355721,0.225582458848334,0.646695,4.294025,FALSE,77,0,0.605
"112","CPBrote",0.519,"CPBrote.H",0.523,"TASSEL","additive",0.605,"c2_3747",11,41925342,0.226202540725616,0.645503,4.294025,FALSE,77,0,0.605
"113","CPBrote",0.519,"CPBrote.H",0.523,"TASSEL","additive",0.605,"c1_513",7,37737782,0.234608883247989,0.629656,4.294025,FALSE,77,0,0.605
"114","CPBrote",0.519,"CPBrote.H",0.523,"TASSEL","additive",0.605,"c2_56627",11,11020656,0.235118158943029,0.628714,4.294025,FALSE,77,0,0.605
"115","CPBrote",0.519,"CPBrote.H",0.523,"TASSEL","additive",0.605,"c2_12957",4,66207413,0.236652668202963,0.625889,4.294025,FALSE,77,0,0.605
"116","CPBrote",0.519,"CPBrote.H",0.523,"TASSEL","additive",0.605,"c2_12955",4,66207542,0.236652668202963,0.625889,4.294025,FALSE,77,0,0.605
"117","CPBrote",0.519,"CPBrote.H",0.523,"TASSEL","additive",0.605,"c2_34777",12,51975839,0.243737252346787,0.613078,4.294025,FALSE,77,0,0.605
"118","CPBrote",0.519,"CPBrote.H",0.523,"TASSEL","additive",0.605,"c2_27268",2,42001161,0.246973128397044,0.60735,4.294025,FALSE,77,0,0.605
"119","CPBrote",0.519,"CPBrote.H",0.523,"TASSEL","additive",0.605,"c1_16414",9,58590119,0.248368841185612,0.604903,4.294025,FALSE,77,0,0.605
"120","CPBrote",0.519,"CPBrote.H",0.523,"TASSEL","additive",0.605,"c2_39342",4,61680075,0.249129390214889,0.603575,4.294025,FALSE,77,0,0.605
"121","CPBrote",0.519,"CPBrote.H",0.523,"TASSEL","additive",0.605,"c2_27961",12,55744163,0.278125073039293,0.55576,4.294025,FALSE,77,0,0.605
"122","CPBrote",0.519,"CPBrote.H",0.523,"TASSEL","additive",0.605,"c2_34557",7,21039147,0.286738489510012,0.542514,4.294025,FALSE,77,0,0.605
"123","CPBrote",0.519,"CPBrote.H",0.523,"TASSEL","additive",0.605,"c2_44305",8,42730406,0.288883780367517,0.539277,4.294025,FALSE,77,0,0.605
"124","CPBrote",0.519,"CPBrote.H",0.523,"TASSEL","additive",0.605,"c2_13766",1,69151882,0.289143832636091,0.538886,4.294025,FALSE,77,0,0.605
"125","CPBrote",0.519,"CPBrote.H",0.523,"TASSEL","additive",0.605,"c1_16470",6,43205349,0.294361024724406,0.53112,4.294025,FALSE,77,0,0.605
"126","CPBrote",0.519,"CPBrote.H",0.523,"TASSEL","additive",0.605,"c2_44304",8,42730417,0.307418910313126,0.512269,4.294025,FALSE,77,0,0.605
"127","CPBrote",0.519,"CPBrote.H",0.523,"TASSEL","additive",0.605,"c1_6869",3,41009095,0.315539713873521,0.500946,4.294025,FALSE,77,0,0.605
"128","CPBrote",0.519,"CPBrote.H",0.523,"TASSEL","additive",0.605,"c2_32400",2,21485979,0.318575417270399,0.496788,4.294025,FALSE,77,0,0.605
"129","CPBrote",0.519,"CPBrote.H",0.523,"TASSEL","additive",0.605,"c2_10563",4,68870646,0.321501642037902,0.492817,4.294025,FALSE,77,0,0.605
"130","CPBrote",0.519,"CPBrote.H",0.523,"TASSEL","additive",0.605,"c1_11363",4,58734459,0.322180049907642,0.491901,4.294025,FALSE,77,0,0.605
"131","CPBrote",0.519,"CPBrote.H",0.523,"TASSEL","additive",0.605,"c2_56794",6,21503828,0.325686888174543,0.4872,4.294025,FALSE,77,0,0.605
"132","CPBrote",0.519,"CPBrote.H",0.523,"TASSEL","additive",0.605,"c2_49495",2,35025916,0.326773513947917,0.485753,4.294025,FALSE,77,0,0.605
"133","CPBrote",0.519,"CPBrote.H",0.523,"TASSEL","additive",0.605,"c2_12958",4,66207275,0.330133062090183,0.481311,4.294025,FALSE,77,0,0.605
"134","CPBrote",0.519,"CPBrote.H",0.523,"TASSEL","additive",0.605,"c2_10568",4,68868824,0.330543757941228,0.480771,4.294025,FALSE,77,0,0.605
"135","CPBrote",0.519,"CPBrote.H",0.523,"TASSEL","additive",0.605,"c2_52057",5,20205444,0.340144640708331,0.468336,4.294025,FALSE,77,0,0.605
"136","CPBrote",0.519,"CPBrote.H",0.523,"TASSEL","additive",0.605,"c1_3497",4,68769666,0.343678206283602,0.463848,4.294025,FALSE,77,0,0.605
"137","CPBrote",0.519,"CPBrote.H",0.523,"TASSEL","additive",0.605,"c2_40699",12,53644230,0.343685556472572,0.463839,4.294025,FALSE,77,0,0.605
"138","CPBrote",0.519,"CPBrote.H",0.523,"TASSEL","additive",0.605,"c2_42451",5,52290923,0.344623637753736,0.462655,4.294025,FALSE,77,0,0.605
"139","CPBrote",0.519,"CPBrote.H",0.523,"TASSEL","additive",0.605,"c1_11356",4,58789793,0.353691701523332,0.451375,4.294025,FALSE,77,0,0.605
"140","CPBrote",0.519,"CPBrote.H",0.523,"TASSEL","additive",0.605,"c2_23170",2,29256125,0.354595625861033,0.450267,4.294025,FALSE,77,0,0.605
"141","CPBrote",0.519,"CPBrote.H",0.523,"TASSEL","additive",0.605,"c2_38938",2,26500723,0.363959991683869,0.438946,4.294025,FALSE,77,0,0.605
"142","CPBrote",0.519,"CPBrote.H",0.523,"TASSEL","additive",0.605,"c2_10539",4,68952759,0.365557236718276,0.437045,4.294025,FALSE,77,0,0.605
"143","CPBrote",0.519,"CPBrote.H",0.523,"TASSEL","additive",0.605,"c1_9413",1,88228894,0.3703587458463,0.431377,4.294025,FALSE,77,0,0.605
"144","CPBrote",0.519,"CPBrote.H",0.523,"TASSEL","additive",0.605,"c2_31359",4,41356423,0.373758028587764,0.427409,4.294025,FALSE,77,0,0.605
"145","CPBrote",0.519,"CPBrote.H",0.523,"TASSEL","additive",0.605,"c2_43736",4,61312752,0.375738596440707,0.425114,4.294025,FALSE,77,0,0.605
"146","CPBrote",0.519,"CPBrote.H",0.523,"TASSEL","additive",0.605,"c2_39847",4,49170272,0.37938340002652,0.420922,4.294025,FALSE,77,0,0.605
"147","CPBrote",0.519,"CPBrote.H",0.523,"TASSEL","additive",0.605,"c2_24",1,85668664,0.381691815181843,0.418287,4.294025,FALSE,77,0,0.605
"148","CPBrote",0.519,"CPBrote.H",0.523,"TASSEL","additive",0.605,"c1_12377",2,35334126,0.384057534027824,0.415604,4.294025,FALSE,77,0,0.605
"149","CPBrote",0.519,"CPBrote.H",0.523,"TASSEL","additive",0.605,"c2_40858",9,58867551,0.386222775067336,0.413162,4.294025,FALSE,77,0,0.605
"150","CPBrote",0.519,"CPBrote.H",0.523,"TASSEL","additive",0.605,"c1_11211",4,59858990,0.389793822647318,0.409165,4.294025,FALSE,77,0,0.605
"151","CPBrote",0.519,"CPBrote.H",0.523,"TASSEL","additive",0.605,"c1_3484",4,68859403,0.391266234624337,0.407528,4.294025,FALSE,77,0,0.605
"152","CPBrote",0.519,"CPBrote.H",0.523,"TASSEL","additive",0.605,"c2_34203",11,46398899,0.397245725417713,0.400941,4.294025,FALSE,77,0,0.605
"153","CPBrote",0.519,"CPBrote.H",0.523,"TASSEL","additive",0.605,"c2_55199",2,33572556,0.399936350155978,0.398009,4.294025,FALSE,77,0,0.605
"154","CPBrote",0.519,"CPBrote.H",0.523,"TASSEL","additive",0.605,"c2_39035",9,1064131,0.402260032276714,0.395493,4.294025,FALSE,77,0,0.605
"155","CPBrote",0.519,"CPBrote.H",0.523,"TASSEL","additive",0.605,"c2_34202",11,46398893,0.409006005548655,0.38827,4.294025,FALSE,77,0,0.605
"156","CPBrote",0.519,"CPBrote.H",0.523,"TASSEL","additive",0.605,"c1_4925",11,43031943,0.418551510133123,0.378251,4.294025,FALSE,77,0,0.605
"157","CPBrote",0.519,"CPBrote.H",0.523,"TASSEL","additive",0.605,"c2_32415",2,21642493,0.423416095212449,0.373233,4.294025,FALSE,77,0,0.605
"158","CPBrote",0.519,"CPBrote.H",0.523,"TASSEL","additive",0.605,"c2_14947",11,39858442,0.426037207565797,0.370552,4.294025,FALSE,77,0,0.605
"159","CPBrote",0.519,"CPBrote.H",0.523,"TASSEL","additive",0.605,"c2_42475",5,52353892,0.43053030632016,0.365996,4.294025,FALSE,77,0,0.605
"160","CPBrote",0.519,"CPBrote.H",0.523,"TASSEL","additive",0.605,"c1_2405",7,10251717,0.432832495728418,0.36368,4.294025,FALSE,77,0,0.605
"161","CPBrote",0.519,"CPBrote.H",0.523,"TASSEL","additive",0.605,"c2_44804",9,53326789,0.438072377042054,0.358454,4.294025,FALSE,77,0,0.605
"162","CPBrote",0.519,"CPBrote.H",0.523,"TASSEL","additive",0.605,"c1_7622",5,489125,0.440481023624982,0.356073,4.294025,FALSE,77,0,0.605
