SAMPLES,Baya.C,Baya.C.GEBV,Baya.H,Baya.H.GEBV,Baya.L,Baya.L.GEBV,PriBrote.C,PriBrote.C.GEBV,PriBrote.H,PriBrote.H.GEBV,PriBrote.L,PriBrote.L.GEBV,PriFlor.C,PriFlor.C.GEBV,PriFlor.H,PriFlor.H.GEBV,PriFlor.L,PriFlor.L.GEBV,PriTuber.C,PriTuber.C.GEBV,PriTuber.H,PriTuber.H.GEBV,PriTuber.L,PriTuber.L.GEBV,Pulpa.C,Pulpa.C.GEBV,Pulpa.H,Pulpa.H.GEBV,Pulpa.L,Pulpa.L.GEBV,SecBrote.C,SecBrote.C.GEBV,SecBrote.H,SecBrote.H.GEBV,SecBrote.L,SecBrote.L.GEBV,SecTuber.C,SecTuber.C.GEBV,SecTuber.H,SecTuber.H.GEBV,SecTuber.L,SecTuber.L.GEBV,Tallo.C,Tallo.C.GEBV,Tallo.H,Tallo.H.GEBV,Tallo.L,Tallo.L.GEBV
15061522,43.135,48,116.903,118,58.338,66,35.803,20,318.222,307,38.693,26,54.15157,58,315.603,322,45.063,43,28.23,47,40.489,85,41.198,76,23.675,6,83.937,71,85.20228,92,6.58874,4,191.77,344,92.935,94,38.202,32,97.605,14,77.337,38,34.80378,16,188.951,359,46.545,28
15060081,44.672,32,116.929,112,59.132,58,29.958,20,306.542,307,38.883,26,40.92449,45,299.392,305,60.488,52,35.653,41,96.128,86,53.935,80,17.247,5,85.16,52,85.61789,94,8.5003,5,221.372,344,92.701,95,32.884,29,146.529,7,57.862,30,39.64751,44,142.01,117,51.005,54
15061656,44.048,45,118.134,128,58.622,58,36.518,42,313.347,316,37.563,41,45.31383,36,290.603,309,58.034,66,33.646,36,99.411,346,55.486,42,15.953,6,82.192,71,86.20754,92,6.48989,5,222.714,344,94.23,95,35.523,26,87.989,80,61.499,82,37.46706,38,143.346,132,50.415,53
15061759,44.784,59,116.719,106,60.176,69,28.275,40,309.377,308,33.791,38,40.24776,58,315.239,312,38.678,33,44.991,45,82.482,83,77.675,77,13.476,26,80.94,94,87.70332,84,6.1085,7,237.236,318,94.351,96,31.298,16,342.006,3,33.013,30,39.57058,44,148.561,117,50.82,54
15061928,44.314,44,116.771,117,58.723,54,23.362,35,313.282,303,32.633,65,53.83338,57,323.591,327,35.239,45,28.873,11,31.909,328,33.177,30,18.081,6,84.835,71,85.53689,92,7.74914,7,262.55,318,94.234,96,37.437,41,108.915,86,76.832,80,38.43944,16,174.819,359,48.193,28
15061454,43.743,44,117.331,117,58.221,54,27.915,40,314.65,308,33.211,38,54.78298,58,315.08,312,44.27,43,13.216,19,294.579,5,31.165,27,16.554,18,83.547,90,85.53869,84,5.36715,4,190.003,41,95.514,94,36.943,42,97.661,96,77.374,80,37.19271,44,157.337,117,49.495,54
15061605,42.404,48,118.547,118,57.291,66,37.754,49,317.271,320,45.169,54,46.71557,43,290.6,319,54.361,61,33.821,42,103.141,96,55.535,80,12.216,8,73.067,95,89.16183,89,5.78306,7,206.579,318,95.623,96,33.537,43,85.701,355,61.71,51,42.74706,44,131.834,117,52.681,54
15060087,45.285,28,116.6,115,58.957,50,23.716,20,309.346,307,30.828,26,51.46823,60,322.505,332,46.286,41,11.117,11,294.145,328,31.089,30,8.43,4,74.078,41,89.94986,94,5.74121,5,184.65,344,94.566,95,37.863,32,92.764,84,78.182,81,22.15953,16,288.433,359,34.785,28
15061619,45.566,38,117.466,132,59.116,53,28.807,53,294.239,346,40.877,39,52.41197,58,323.548,322,45.142,43,12.182,11,302.319,318,31.729,28,15.967,18,84.22,90,86.52954,84,12.24443,7,184.282,318,86.679,96,35.369,41,84.295,86,78.008,80,28.10464,16,247.508,359,39.758,28
15060090,41.44,48,119.737,118,57.177,66,30.024,20,318.392,307,34.847,26,48.56826,60,323.657,332,53.679,41,31.426,36,130.295,346,57.899,42,8.562,5,70.171,52,90.08166,94,5.42089,7,196.623,318,94.306,95,33.872,32,43.882,84,68.31,81,36.6301,44,137.861,117,51.555,54
15061731,45.593,48,117.462,118,59.139,66,28.456,41,294.205,347,41.064,35,52.32036,49,323.354,320,45.341,54,12.445,43,304.051,355,32.075,51,15.845,18,84.237,90,86.59368,84,12.25602,7,184.183,318,86.657,95,35.372,36,79.488,83,77.81,79,28.26899,16,246.701,359,39.827,28
15061655,42.357,48,118.59,118,58.008,66,36.551,55,313.249,329,46.442,36,46.0794,36,290.024,309,50.31,66,33.708,47,100.139,85,55.448,76,15.923,18,82.18,90,86.92579,84,7.97673,4,213.405,41,93.437,94,33.586,29,88.848,17,61.686,50,44.79939,44,128.25,117,53.443,54
15061661,43.485,38,116.461,132,57.292,53,33.992,40,317.072,308,40.712,38,51.07845,36,318.713,319,45.946,67,25.894,36,143.194,346,40.829,42,7.375,3,72.411,32,91.25323,92,6.29166,7,238.706,318,95.914,96,33.492,41,81.475,86,77.751,80,41.4896,44,124.632,117,52.921,54
15061499,46.097,59,116.492,106,60.336,69,21.841,26,310.145,314,31.199,33,51.07997,36,321.026,309,51.924,66,39.808,41,70.165,86,74.823,80,17.941,18,86.672,90,85.43105,84,6.25161,7,230.389,318,95.958,96,34.583,39,26.748,17,43.78,43,43.86467,44,117.387,117,53.948,54
15061647,45.851,44,116.524,117,59.923,54,23.623,28,311.884,306,32.015,27,44.30673,45,312.209,305,54.064,52,35.886,47,65.159,85,47.08,76,19.48,6,86.987,71,84.77313,92,6.31528,4,215.883,41,95.395,94,35.47,28,68.932,345,66.457,30,40.63143,44,122.569,117,52.713,54
15061612,44.841,44,116.701,117,58.883,54,22.468,26,310.855,314,34.055,33,41.4627,58,315.64,322,50.128,43,40.039,41,112.253,86,76.845,80,11.657,6,82.047,71,88.929,92,6.48462,7,209.288,318,91.966,95,31.082,33,316.729,324,30.474,31,33.00089,16,213.507,359,43.668,28
15061742,46.051,32,116.514,111,60.265,63,23.129,20,310.173,307,31.307,26,50.83687,57,318.251,327,51.943,45,40.221,35,71.09,83,73.642,75,18.127,6,86.534,71,85.36715,92,6.2445,4,230.044,41,95.971,94,34.495,37,29.759,18,43.703,42,43.42245,44,120.987,117,53.579,54
15061710,42.652,59,117.46,106,58.199,69,21.492,20,311.454,307,29.045,26,48.88647,57,321.438,327,46.92,45,10.049,8,301.62,313,31.326,29,31.815,42,88.598,96,82.70681,80,7.00862,7,282.335,318,94.655,96,37.253,41,53.43,85,77.804,79,22.60537,16,265.906,359,36.378,28
15062372,44.386,44,117.456,117,58.719,54,34.596,28,314.049,306,33.017,27,45.17803,35,290.342,303,51.613,65,32.691,16,100.843,359,52.918,28,16.652,26,82.545,94,85.30247,84,6.15799,7,206.679,318,94.607,96,33.882,35,90.964,83,63.294,75,34.26194,44,157.053,117,48.327,54
15061583,43.45,44,116.467,117,57.254,54,35.412,39,316.972,308,40.65,54,50.80601,48,317.425,315,46.002,59,27.033,26,111.939,342,39.702,50,7.458,6,72.461,71,91.09378,92,6.26382,7,237.727,318,95.932,96,33.486,18,85.627,90,78.695,84,41.06209,44,125.981,117,52.888,54
15061767,46.482,59,117.361,106,60.549,69,21.808,20,311.382,307,29.848,26,44.40583,35,308.631,303,50.863,65,15.087,11,337.601,328,31.139,30,15.908,26,84.27,94,86.50012,84,7.27994,4,237.023,41,93.875,94,33.906,25,83.763,28,72.328,45,41.67304,44,136.845,117,52.043,54
15062130,46.01,59,115.347,106,60.532,69,55.064,47,312.648,352,34.914,36,44.74265,41,312.7,320,51.545,48,35.825,35,25.539,16,43.445,40,12.714,6,83.071,71,87.94413,92,6.94987,7,223.834,318,92.879,96,31.081,35,78.143,83,76.212,75,37.29073,44,163.373,117,48.995,54
15061637,45.878,59,116.526,106,59.95,69,22.063,20,311.819,307,31.97,26,44.3529,58,315.916,322,54.169,43,34.715,35,51.047,83,45.055,75,19.449,18,86.96,90,84.78077,84,6.31002,7,215.023,318,95.407,96,35.465,33,78.619,10,68.095,43,40.94522,38,121.445,132,52.839,53
15061337,45.15,44,116.66,117,58.833,54,23.069,26,309.012,314,32.234,33,48.79117,57,323.187,317,43.387,49,26.656,28,24.266,345,32.473,30,15.793,18,82.922,90,86.13358,84,6.0403,7,197.448,318,93.849,96,34.962,35,90.945,22,77.446,80,33.69156,44,175.216,117,46.553,54
15062104,45.852,45,118.141,128,59.382,58,25.357,20,310.761,307,29.257,26,48.20113,58,316.307,312,43.824,33,9.771,36,313.411,83,30.032,79,19.807,18,86.322,90,85.48369,84,6.08192,4,181.789,41,93.865,94,39.203,32,87.635,5,77.546,42,32.74215,44,211.843,117,43.211,54
15061579,45.286,45,116.191,115,59.584,72,35.112,26,309.521,314,38.559,33,50.68113,58,322.895,322,44.376,43,38.095,16,108.813,3,75.245,30,16.367,6,83.141,71,85.73817,92,5.91003,4,160.634,41,92.743,94,28.93,42,299.141,96,33.97,80,25.38233,16,274.003,359,36.834,28
15061932,43.907,45,116.759,128,58.746,58,45.098,45,319.795,330,46.848,52,47.501,46,317.051,323,54.912,57,40.706,42,66.496,96,76.601,80,12.258,6,81.967,71,87.99519,92,5.8296,4,188.762,41,94.107,94,33.751,28,32.177,84,48.23,41,44.54538,44,114.244,117,54.004,54
15061603,45.293,48,116.61,118,58.96,66,23.975,28,309.518,306,30.836,27,51.53404,39,322.311,319,46.306,42,10.562,8,295.162,313,29.949,29,8.426,3,74.108,32,89.94933,92,5.72983,7,184.806,318,94.567,96,37.938,42,90.874,96,78.245,80,22.22553,44,288.2,117,34.754,54
15060025,45.838,48,116.531,118,59.934,66,23.761,20,311.995,307,32.148,26,44.27917,45,313.461,305,54.23,52,35.247,47,64.001,85,46.18,76,19.35,5,86.867,52,84.84284,94,6.30087,7,216.029,318,95.386,95,35.434,19,68.811,5,67.905,27,40.62465,44,122.648,117,52.715,54
15061704,45.89,75,116.527,107,59.943,76,23.584,28,311.92,306,31.983,27,44.42313,37,312.445,293,54.06,61,35.101,19,67.196,5,47.316,27,19.522,6,86.938,71,84.743,92,6.28162,4,215.359,41,95.389,94,35.578,47,73.048,85,65.963,76,40.66522,44,121.818,117,52.745,54
15061334,45.836,48,116.966,118,59.556,66,34.758,49,314.134,320,37.009,54,47.56302,57,316.444,327,46.065,45,25.414,32,150.218,14,42.17,38,15.778,26,84.433,94,86.64604,84,7.46897,7,208.372,318,91.687,96,35.867,47,109.231,85,71.058,76,36.0504,44,172.433,117,48.014,54
15061631,42.651,48,117.455,118,58.225,66,22.407,28,311.421,306,29.02,27,49.19868,58,321.843,322,46.554,43,10.462,11,298.247,318,30.774,28,31.57,6,88.412,71,82.73362,92,7.03367,4,282.953,41,94.636,94,37.347,47,59.438,85,78.578,76,22.4967,16,266.55,359,36.234,28
15060964,44.551,38,116.578,132,58.601,53,38.524,40,315.268,309,38.264,43,53.0169,39,315.813,321,44.818,36,31.662,16,27.228,359,45.157,28,22.183,32,87.144,84,85.03135,81,6.52903,7,249.894,318,94.289,96,36.094,47,92.964,85,72.682,76,39.70157,44,161.61,117,49.788,54
15061778,45.57,44,117.473,117,59.096,54,34.471,58,294.566,322,41.272,43,52.28066,58,323.257,322,45.48,43,11.887,11,308.319,318,31.469,28,15.998,42,84.261,96,86.55854,80,12.1949,7,183.438,318,86.663,96,35.286,41,77.567,86,77.063,80,28.11478,16,248.837,359,39.633,28
15061718,43.741,44,117.325,128,58.233,54,27.627,26,314.821,307,33.233,33,54.84833,40,316.107,305,43.657,59,12.406,11,302.398,318,30.241,28,16.65,6,83.78,71,85.49591,92,5.43619,7,190.147,318,95.509,96,37.017,36,97.573,83,77.917,79,37.39402,21,158.316,132,49.521,49
15061486,45.149,44,117.545,117,60.437,54,31.545,26,317.094,314,36.069,33,43.95405,45,322.439,310,43.069,58,31.849,8,114.376,313,52.858,29,9.832,6,81.396,88,90.11214,92,6.17432,7,215.953,318,95.799,96,31.485,35,136.933,86,62.143,80,31.05037,44,222.269,117,42.617,54
15060214,45.231,44,116.936,117,59.535,54,37.126,53,314.375,315,41.207,62,41.41889,39,292.746,321,65.47,36,34.043,47,95.977,85,56.895,76,14.899,6,83.936,71,86.14277,92,6.23246,7,212.561,318,95.655,95,32.994,37,83.014,12,60.101,41,41.9559,44,124.342,117,52.855,54
15061333,45.427,44,116.77,117,59.777,54,31.975,28,314.278,306,34.593,27,48.36512,45,315.787,305,43.828,52,29.219,8,121.896,313,49.147,29,15.313,18,83.585,90,86.90317,84,6.23485,7,213.936,318,94.286,96,32.878,36,121.77,96,63.779,30,33.47026,44,197.614,117,44.779,54
15061962,43.917,44,116.78,117,58.74,54,47.613,55,319.845,328,46.725,52,47.16146,49,316.858,320,54.756,54,41.78,35,76.485,83,77.527,75,12.329,6,82.066,71,87.9927,92,5.87006,4,189.727,41,94.091,94,33.802,29,25.703,17,47.726,50,44.66653,44,114.425,117,53.982,54
15061624,45.33,44,116.591,117,59.048,54,21.793,55,309.244,329,30.801,36,50.43376,40,318.918,308,46.774,38,16.066,39,256.466,17,29.995,43,8.605,6,74.357,71,89.83375,92,5.65876,4,185.899,41,94.564,94,37.762,42,92.421,96,78.482,80,23.1683,44,279.196,117,35.751,54
15061282,43.498,32,116.464,112,57.281,58,33.205,28,317.21,306,40.561,27,51.00999,58,318.988,322,46.097,43,24.71,26,169.483,342,40.826,50,7.304,6,72.284,71,91.24692,92,6.26243,7,238.213,318,95.909,96,33.566,6,91.65,71,76.278,92,41.4896,44,124.051,117,52.977,54
15061529,45.27,48,116.41,118,59.731,66,22.677,26,310.826,314,31.349,33,17.0693,6,83.424,71,72.56,92,24.387,11,131.335,328,32.391,30,15.059,18,83.331,90,87.09474,84,6.40944,7,228.043,318,94,96,33.721,39,72.788,86,73.857,80,38.16054,44,141.066,117,50.331,54
15061935,43.931,59,116.78,106,58.768,69,47.063,57,320.001,347,47.003,54,47.0634,55,316.259,329,54.478,36,41.353,37,80.399,18,77.304,42,12.234,6,82.113,71,87.98864,92,5.87239,4,189.035,41,93.987,94,33.772,41,23.779,86,47.157,80,44.65153,44,115.306,117,53.867,54
15061568,45.209,44,116.08,117,59.339,54,32.336,49,317.145,320,35.951,54,49.28871,58,314.887,322,44.964,43,26.42,42,115.42,96,38.473,80,16.035,18,85.545,90,86.64337,84,6.80784,4,207.246,41,94.07,94,35.328,37,90.065,18,68.895,42,36.46627,44,181.157,117,47.022,54
15061491,45.592,59,117.465,106,59.122,69,29.424,58,294.353,336,41.07,48,52.29787,58,323.127,322,45.369,43,12.728,11,299.868,328,32.348,30,15.947,18,84.351,90,86.53895,84,12.24806,7,184.76,318,86.67,95,35.362,41,81.208,86,77.658,80,28.16429,16,247.268,359,39.768,28
15061318,44.997,44,117.406,117,59.11,54,27.801,20,315.387,307,32.27,26,45.89274,55,313.024,329,45.221,36,28.175,11,102.502,328,43.679,30,13.028,6,79.696,71,87.63823,92,7.41746,4,217.073,41,93.634,94,34.552,41,139.002,41,67.095,82,30.74672,44,202.567,117,44,54
15061361,45.145,44,116.662,117,58.832,54,22.844,20,308.964,307,32.075,26,48.84956,58,322.02,322,43.32,43,25.919,28,26.553,21,30.786,34,15.751,18,82.877,90,86.12839,84,6.02592,7,197.258,318,93.848,96,35.017,41,91.253,90,77.509,75,33.64044,44,175.629,117,46.529,54
15061515,44.626,32,118.196,112,59.024,58,23.129,26,309.355,314,31.677,33,12.80579,6,78.218,71,83.942,92,30.293,29,36.305,17,46.479,35,20.555,18,87.442,90,85.35028,84,5.81042,7,187.093,318,94.478,96,34.076,31,86.992,53,78.841,73,41.47137,19,136.573,134,51.837,45
15062123,46.037,44,116.522,117,60.301,54,28.977,20,310.052,307,31.281,26,50.66888,45,319.705,310,51.527,58,34.105,35,37.539,83,64.967,75,18.069,6,86.563,71,85.32282,92,6.3553,4,231.739,41,95.875,94,34.611,37,57.688,18,53.105,42,43.87113,44,117.069,117,53.961,54
15061358,45.871,38,116.525,132,59.937,53,23.257,28,311.913,306,32.081,27,44.3249,40,313.273,314,54.124,48,35.814,41,68.422,86,46.849,80,19.447,18,87.022,90,84.81412,84,6.33811,7,215.024,318,95.382,96,35.441,36,65.65,346,66.948,42,40.71348,44,121.846,117,52.78,54
15061428,47.18,48,116.161,118,60.795,66,55.122,58,332.493,336,43.201,48,51.4167,49,321.955,320,47.743,54,33.79,32,31.107,14,40.244,38,21.075,18,88.033,90,84.30627,84,6.25724,4,225.847,41,93.317,94,38.62,42,78.896,96,77.495,80,43.03101,44,124.864,117,53.278,54
15061496,43.983,44,117.369,117,58.866,54,21.601,26,311.061,314,28.64,33,50.64105,58,315.032,312,41.471,33,27.929,28,21.028,22,31.241,39,17.38,6,85.916,71,85.2723,92,5.95412,7,289.542,318,96.053,96,36.318,41,68.09,86,76.634,80,24.01347,16,264.199,359,36.791,28
15061648,45.707,48,116.324,118,58.935,66,55.016,20,324.307,307,38.857,26,50.16164,58,321.78,322,47.957,43,30.071,11,25.393,318,37.201,28,19.919,18,85.801,90,85.01222,84,8.4683,7,251.402,318,91.466,96,35.603,37,77.984,74,79.005,74,37.4269,38,154.9,132,49.772,53
15061808,40.669,48,116.877,118,55.96,66,51.319,47,321.742,352,41.689,36,41.57101,46,309.794,323,58.512,57,40.271,32,99.408,84,77.926,81,8.811,10,75.336,96,90.92218,88,5.0261,4,148.556,41,93.213,94,33.839,29,26.872,17,44.702,50,40.98839,44,137.518,117,51.857,54
15061600,45.078,44,118.417,117,58.821,54,33.875,43,321.262,319,40.324,61,47.01435,40,317.652,326,51.866,63,27.575,29,119.319,17,36.432,35,10.235,18,78.874,90,89.01956,84,5.23282,7,162.369,318,95.696,96,37.899,32,93.253,84,76.174,81,39.38153,44,153.126,117,50.174,54
15061730,44.984,28,117.733,115,58.629,50,28.862,39,310.086,319,40.651,42,46.95702,45,316.659,305,49.381,52,30.028,19,64.744,5,37.006,27,19.493,18,82.529,90,85.49307,84,5.95156,7,228.508,318,94.721,96,33.168,41,73.043,86,74.9,80,18.45638,16,331.319,359,30.331,28
15061623,45.871,48,116.522,118,59.942,66,23.11,20,311.915,307,32.046,26,44.31696,40,312.914,308,54.312,38,35.703,32,66.174,25,46.304,42,19.471,6,87.02,71,84.77442,92,6.3094,7,215.915,318,95.391,96,35.392,42,66.622,96,67.29,80,40.74841,44,121.707,117,52.799,54
15061405,43.507,28,116.471,115,57.291,50,35.523,20,317.333,307,40.558,26,51.52138,45,318.488,310,45.544,58,26.145,36,127.747,346,39.112,42,7.509,6,72.524,71,91.12552,92,6.31463,4,239.568,41,95.918,94,33.577,35,87.929,17,77.959,75,41.28012,44,125.182,117,52.912,54
15061299,43.492,44,116.463,117,57.299,54,33.597,40,317.27,309,40.76,43,51.57252,43,320.288,319,45.212,61,27.915,33,106.599,10,46.329,43,7.387,6,72.45,71,91.16521,92,6.33606,7,236.706,318,95.917,96,33.554,26,92.472,80,77.627,82,41.34077,44,125.056,117,52.853,54
15061578,45.811,44,118.203,117,59.376,54,26.685,55,310.911,329,29.225,36,47.92384,43,315.48,319,43.776,61,9.577,16,311.141,3,30.194,30,19.885,6,86.271,71,85.46177,92,6.09361,4,182.913,41,93.866,94,39.154,36,89.782,83,77.344,79,32.50458,16,212.897,359,43.107,28
15061476,44.863,50,116.833,115,59.1,71,22.275,26,316.733,314,36.249,33,40.4093,42,312.18,312,57.96,49,21.213,22,19.8,344,30.14,27,12.402,6,81.026,71,88.41641,92,7.89715,4,228.855,41,91.552,94,34.693,42,95.223,96,77.116,80,29.75465,16,222.765,359,41.155,28
15061765,45.258,48,116.417,118,59.737,66,21.745,20,310.855,307,31.501,26,17.37018,6,88.431,71,72.592,92,25.301,11,115.317,318,33.637,28,15.15,18,83.572,90,87.00866,84,6.38016,4,228.945,41,93.993,94,33.714,42,67.739,86,72.107,84,38.38762,44,140.389,117,50.429,54
15062111,45.22,38,117.068,132,58.625,53,26.872,20,316.191,307,36.482,26,51.93282,58,326.53,322,45.781,43,27.439,33,26.072,349,32.139,62,21.534,26,86.09,94,84.74736,84,10.23311,7,215.93,318,91.967,96,34.237,36,71.087,86,77.305,43,32.48823,16,173.572,359,47.273,28
15061397,45.308,38,116.594,132,59.028,53,21.701,42,309.313,304,30.758,58,51.20651,6,320.661,71,46.342,92,14.746,26,271.829,342,30.769,50,8.313,26,74.056,94,89.9941,84,5.6914,7,184.386,318,94.564,96,37.934,37,94.107,74,78.085,74,22.43227,44,286.048,117,35.007,54
15061713,45.884,28,116.523,115,59.943,50,23.036,20,311.86,307,32.047,26,44.33314,36,313.234,309,54.281,66,34.837,47,67.289,85,46.592,76,19.557,24,87.061,85,84.74712,84,6.33474,4,215.298,41,95.387,94,35.539,22,69.899,83,66.336,30,40.81543,44,120.484,117,52.857,54
15061584,42.572,48,118.468,118,57.796,66,36.878,57,314.507,327,42.237,45,38.2416,58,285.578,322,58.522,43,33.672,39,101.013,21,55.922,48,13.685,6,78.178,71,88.22044,92,6.19189,4,198.171,41,91.551,94,34.007,41,90.268,86,61.777,80,35.78874,44,164.038,117,49.931,54
15061912,44.977,44,117.648,117,58.986,54,35.416,53,317.286,341,39.817,44,49.62363,46,299.053,323,46.322,57,31.88,41,108.987,86,53.909,80,17.703,26,88.809,94,85.90675,84,7.32613,7,217.935,318,91.36,95,35.696,25,144.682,28,62.177,45,36.76584,44,185.483,117,47.395,54
15061260,45.849,45,116.533,128,59.934,58,23.467,20,311.87,307,32.107,26,44.58653,46,313.777,323,54.093,57,34.115,11,70.174,328,45.592,30,19.361,6,86.821,71,84.81843,92,6.30795,4,214.486,41,95.418,94,35.535,35,68.052,83,67.338,75,40.77731,44,122.914,117,52.688,54
15062099,43.094,44,117.08,117,58.688,54,38.336,40,311.767,308,34.752,38,51.70208,57,314.297,327,51.377,45,34.821,22,330.594,344,44.045,27,13.099,26,81.685,94,87.20398,84,5.86205,4,193.417,41,94.348,94,32.396,24,92.103,85,76.81,80,39.79834,44,141.938,117,51.08,54
15061350,45.518,45,116.137,128,59.043,58,41.81,58,316.338,336,39.17,48,48.8982,40,313.724,326,50.978,63,37.285,37,30.545,18,43.352,42,14.083,35,83.164,93,87.18379,82,6.43693,4,177.258,41,93.431,94,35.502,35,92.638,83,77.542,75,38.27828,44,162.175,117,49.397,54
15060933,45.741,48,116.276,118,60.026,66,56.832,59,323.389,350,38.303,47,41.58978,58,316.39,312,54.381,43,35.183,39,29.265,17,40.632,43,15.472,5,116.219,52,88.54541,94,6.97656,7,256.205,318,92.593,96,35.456,32,94.959,84,78.358,81,40.39486,44,152.621,117,50.373,54
15061548,46.005,44,116.506,117,60.309,54,44.489,57,311.823,327,38.898,45,40.18861,55,303.568,329,56.463,36,29.966,29,52.79,7,55.08,30,12.974,26,83.47,94,87.96766,84,7.2664,7,237.694,318,92.474,96,31.931,42,314.968,74,36.47,80,38.27154,44,160.61,117,49.111,54
15061348,45.144,45,116.656,128,58.856,58,22.182,20,308.75,307,31.973,26,48.69114,58,320.848,322,43.464,43,25.331,29,29.063,7,31.108,30,15.787,18,82.989,90,86.09785,84,6.04038,7,197.689,318,93.847,96,35.039,37,95.596,41,77.69,84,33.3122,44,177.328,117,46.35,54
15061560,44.288,48,117.929,118,58.784,66,31.085,26,314.663,314,35.854,33,31.45238,43,300.974,319,70.278,61,35.458,35,29.917,16,44.744,40,20.19,18,89.717,90,84.53087,84,6.41143,7,239.085,318,96.06,96,35.626,32,50.732,41,76.691,54,45.10496,44,121.765,117,53.317,54
15061544,45.346,28,116.547,115,59.116,50,24.534,26,309.9,314,30.708,33,51.90567,36,318.747,324,45.554,66,14.308,19,213.927,5,34.164,27,8.677,3,73.863,32,90.10612,92,5.69532,4,194.063,41,94.711,94,37.42,47,110.097,85,75.59,76,20.67435,16,287.303,359,34.599,28
