SAMPLES,CBaya.C,CBaya.C.GEBV,CBaya.H,CBaya.H.GEBV,CBaya.L,CBaya.L.GEBV,CPBrote.C,CPBrote.C.GEBV,CPBrote.H,CPBrote.H.GEBV,CPBrote.L,CPBrote.L.GEBV,CPFlor.C,CPFlor.C.GEBV,CPFlor.H,CPFlor.H.GEBV,CPFlor.L,CPFlor.L.GEBV,CPTuber.C,CPTuber.C.GEBV,CPTuber.H,CPTuber.H.GEBV,CPTuber.L,CPTuber.L.GEBV,CPulpa.C,CPulpa.C.GEBV,CPulpa.H,CPulpa.H.GEBV,CPulpa.L,CPulpa.L.GEBV,CSBrote.C,CSBrote.C.GEBV,CSBrote.H,CSBrote.H.GEBV,CSBrote.L,CSBrote.L.GEBV,CSPulpa.C,CSPulpa.C.GEBV,CSPulpa.H,CSPulpa.H.GEBV,CSPulpa.L,CSPulpa.L.GEBV,CSTuber.C,CSTuber.C.GEBV,CSTuber.H,CSTuber.H.GEBV,CSTuber.L,CSTuber.L.GEBV,CTallo.C,CTallo.C.GEBV,CTallo.H,CTallo.H.GEBV,CTallo.L,CTallo.L.GEBV
15061926,43.421,48,116.635,117,55.926,69,30.716,34,313.14,316,40.652,33,48.936,55,318.56,329,49.28,36,31.744,16,188.246,359,47.148,28,6.206,3,73.40342,71,92.171,92,6.142,4,232.727,41,95.203,94,32.307,28,335.539,344,30.731,27,34.187,41,81.7,86,73.31,80,41.408,44,122.97,117,53.22,54
15061906,45.045,44,116.695,117,59.651,54,25.801,20,312.583,307,31.32,26,49.191,45,316.239,305,48.221,52,9.011,8,171.959,313,37.516,29,17.59,6,87.18367,71,84.553,92,5.368,7,192.502,318,94.885,96,29.85,22,338.218,344,32.788,27,36.813,32,83.388,53,64.734,75,17.431,16,132.027,359,33.446,28
15061665,44.814,44,116.618,117,59.485,54,45.846,46,323.157,323,37.982,57,49.514,58,318.766,322,49.76,43,39.867,37,83.825,74,65.739,74,12.63,18,80.5321,90,87.37,84,5.235,4,171.823,41,94.791,94,31.634,28,338.195,346,34.779,29,35.008,39,41.959,33,56.129,43,43.433,44,118.75,117,54.035,54
15061397,44.403,38,116.715,112,59.376,53,21.308,42,308.114,304,30.285,58,50.589,58,321.32,322,45.848,33,14.501,26,174.614,342,34.758,50,5.833,26,75.63425,94,91.576,84,5.393,7,179.315,318,94.892,96,28.925,39,338.249,328,30.914,43,38.925,37,89.156,74,73.793,74,16.404,44,257.995,117,30.144,54
15060187,44.209,44,116.534,117,57.544,54,27.57,42,310.355,316,34.238,41,47.788,57,320.1,322,43.682,39,33.727,16,133.771,3,59.711,30,10.257,35,76.91978,93,91.538,82,6.314,7,248.697,318,95.179,96,30.816,33,335.35,344,33.11,37,36.495,35,43.619,93,56.017,82,38.237,16,178.523,359,50.192,28
15061534,44.864,38,116.573,115,60.669,50,23.271,40,309.014,308,26.829,38,51.003,49,320.51,320,44.368,54,9.401,11,248.126,318,34.176,28,30.021,35,85.34511,96,80.885,80,5.866,7,221.308,318,95.116,96,29.714,34,340.628,316,31.645,33,37.821,42,83.627,96,74.418,80,19.089,44,300.915,117,30.163,54
15062362,44.521,44,116.721,117,58.484,54,21.682,40,308.94,309,30.534,43,48.412,42,320.831,316,43.877,41,22.557,47,83.098,85,36.08,76,18.686,18,86.06029,90,84.468,84,5.504,4,189.667,41,94.973,94,30.945,28,337.449,342,31.644,31,37.411,37,83.647,41,72.523,43,35.123,44,169.211,117,47.728,54
15061521,43.609,48,116.215,118,58.83,66,29.908,42,314.032,324,35.903,43,49.42,43,321.112,319,49.803,61,28.408,29,174.79,17,50.053,35,8.91,35,77.12451,93,91.055,82,5.426,7,181.603,318,94.837,96,30.85,22,339.351,344,32.643,30,37.62,41,88.493,86,70.188,80,35.06,16,188.218,359,47.348,28
15061633,44.209,44,116.404,117,58.042,54,37.089,40,319.425,309,35.657,43,45.48,57,316.086,317,51.536,49,33.824,36,108.012,83,57.815,79,14.485,6,80.20944,71,87.996,92,5.393,4,182.937,41,94.84,94,31.938,28,337.035,345,33.544,30,34.295,36,60.865,83,56.63,79,39.901,16,136.157,359,50.723,28
15061659,43.581,44,116.065,117,58.323,54,31.165,39,315.82,319,33.526,42,48.59,58,323.315,322,52.434,43,31.333,36,177.168,346,54.117,42,7.167,6,76.32217,71,91.565,92,5.328,7,193.785,318,94.811,96,32.221,34,337.463,342,33.11,27,32.693,41,67.606,86,67.105,80,39.454,21,120.684,132,52.953,49
15061673,44.306,38,116.426,115,59.342,50,37.295,57,318.236,327,41.791,45,48.447,49,318.679,320,46.165,54,33.154,42,133.15,3,56.498,37,12.111,6,78.56521,71,88.115,92,5.379,7,187.728,318,94.867,96,31.471,33,338.017,344,33.336,27,34.974,19,61.535,40,62.822,60,38.857,16,131.387,359,50.818,28
15062356,44.865,43,116.573,116,60.649,62,23.126,20,308.88,307,26.621,26,51.013,48,320.514,315,44.414,59,9.404,8,247.873,313,34.341,29,30.266,26,85.28568,94,80.691,84,5.871,7,221.437,318,95.118,96,29.716,22,340.636,344,31.666,27,37.77,35,83.19,83,74.285,80,19.125,17,301.246,138,30.259,42
15061361,44.531,44,116.724,117,58.475,54,27.644,20,308.707,307,30.352,26,48.481,58,320.874,322,43.808,43,25.8,28,84.741,21,36.126,34,16.945,18,86.14,90,84.365,84,5.517,7,190.572,318,94.98,96,30.972,26,337.362,344,31.679,41,37.412,33,85.54,41,72.364,30,35.198,44,168.841,117,47.926,54
15061729,44.607,44,116.592,117,59.451,54,26.289,57,307.542,317,37.043,49,46.609,45,320.065,305,48.511,52,29.647,29,89.155,7,50.328,30,20.585,18,86.67524,90,84.714,84,5.348,7,183.993,318,94.901,96,30.555,33,337.266,333,33.918,30,35.468,36,77.151,83,62.078,79,17.546,16,307.925,359,29.083,28
15061755,44.352,38,116.688,115,58.567,50,37.479,26,308.763,314,31.67,33,49.584,31,317.291,315,47.452,63,16.703,16,118.08,3,36.23,30,21.261,26,87.25144,94,84.349,84,5.785,7,216.778,318,95.083,96,30.357,43,338.318,316,32.039,43,36.296,42,81.188,96,70.606,80,25.978,44,163.993,117,46.258,54
15061496,44.547,44,116.475,117,59.613,54,20.006,26,308.468,314,28.562,33,47.318,58,316.657,312,41.313,33,24.677,28,160.953,22,34.934,39,15.97,6,84.95381,71,84.619,92,5.921,7,233.119,318,95.279,96,29.554,28,340.098,345,32.389,27,37.144,41,79.755,86,66.353,80,20.15,16,261.043,359,32.603,28
15062368,45.839,48,116.915,117,61.519,69,57.156,58,334.066,336,44.264,48,50.723,57,321.7,317,48.216,49,35.544,28,45.035,22,45.197,39,22.783,26,91.1178,94,84.263,84,5.719,7,209.638,318,95.023,96,31.248,23,340.666,345,33.831,37,38.899,47,83.889,85,71.545,76,43.521,44,121.404,117,53.885,54
15062339,43.938,48,116.236,117,57.941,69,36.891,39,311.606,321,39.45,36,46.615,55,318.94,329,45.706,36,32.872,47,117.442,85,60.573,76,12.841,26,78.2101,94,88.482,84,6.074,7,230.09,318,95.081,95,31.679,28,338.065,344,33.874,41,34.911,37,58.925,41,51.334,42,36.23,44,199.793,117,47.495,54
15061577,44.691,44,116.57,117,59.159,54,21.519,20,307.992,307,28.238,26,50.953,58,316.255,322,43.834,43,9.745,11,216.069,328,39.787,30,16.831,26,87.20017,94,84.834,84,5.246,4,170.243,41,94.856,94,31.103,36,337.508,328,34.255,37,37.341,47,82.556,85,72.759,76,33.254,44,192.71,117,43.981,54
15062136,45.098,38,116.269,116,61.102,44,50.027,26,331.53,314,40.044,33,50.51,55,323.356,329,45.338,36,30.822,29,76.783,7,42.436,30,16.214,35,84.76613,93,84.491,82,6.26,7,240.064,346,95.15,95,31.478,22,339.47,346,34.845,27,37.967,31,92.114,41,71.743,60,22.052,6,286.282,23,33.255,28
15061529,45.286,48,116.722,118,61.001,66,22.928,26,309.034,314,29.498,33,45.655,49,318.197,305,44.759,61,12.77,11,198.576,328,41.44,30,16.025,18,83.99165,90,84.603,84,5.628,7,201.988,318,94.994,96,30.314,33,338.095,324,32.259,31,35.734,42,47.028,86,61.11,80,39.043,44,144.473,117,51.519,54
15061396,43.768,48,115.996,118,59.743,66,23.544,20,309.636,307,32.139,26,50.978,58,319.999,312,48.006,43,28.249,8,109.177,313,47.333,29,22.745,6,89.80729,71,84.305,92,5.752,4,202.824,41,94.996,94,30.499,22,333.863,344,31.552,27,33.013,41,75.101,86,70.628,80,41.196,16,121.759,359,53.008,28
15061482,44.58,50,116.286,118,59.33,66,47.442,47,321.338,327,44.774,36,47.854,60,318.964,332,49.623,41,44.848,42,84.791,96,71.039,80,12.251,6,78.85889,71,86.991,92,4.735,4,123.402,41,94.507,94,31.468,33,341.978,344,32.339,31,34.644,29,37.211,40,58.399,50,40.549,44,125.769,117,52.649,54
15061814,43.496,44,116.582,117,56.689,54,50.644,57,324.047,317,43.256,49,50.317,58,323.109,322,46.953,43,29.436,29,122.667,7,40.622,30,6.45,6,68.76269,71,92.966,92,5.424,4,209.073,41,94.939,94,31.596,30,340.151,346,33.428,30,34.501,42,89.905,96,73.676,80,36.71,16,121.274,359,51.925,28
15061769,44.729,44,116.531,117,59.701,54,36.599,57,325.833,339,42.075,39,48.964,40,319.448,326,49.698,63,30.354,34,132.067,8,49.526,34,14.745,6,82.30427,71,87.358,92,5.822,7,209.67,318,95.075,96,31.09,37,338.348,345,34.157,41,36.696,37,67.173,83,65.818,80,36.769,44,134.718,117,49.332,54
15061610,44.53,48,116.724,118,58.472,66,28.099,20,308.525,307,30.179,26,48.48,39,320.864,321,43.808,36,26.246,16,85.104,359,36.124,28,15.321,6,86.04928,71,84.429,92,5.512,4,190.58,41,94.978,94,30.968,33,337.395,344,31.653,27,37.379,42,85.091,96,72.528,80,35.066,17,169.468,138,47.864,42
15062147,44.025,45,116.296,116,58.169,69,55.119,53,334.401,346,37.622,39,47.362,34,318.343,316,46.485,33,30.021,37,66.72,18,48.471,42,8.725,6,77.32602,71,91.122,92,6.008,7,229.317,318,95.28,96,29.822,28,340.488,346,32.633,30,38.451,42,68.733,86,63.774,80,29.032,44,211.098,117,41.472,54
15061358,44.977,38,116.363,115,60.913,53,20.877,28,309.861,306,28.469,27,43.791,40,312.112,314,53.774,48,34.35,41,82.164,86,50.234,80,14.608,18,83.27766,90,84.723,84,5.743,7,220.76,318,95.076,96,31.45,28,332.595,344,32.68,30,36.099,36,79.46,41,62.532,42,41.944,44,122.268,117,53.443,54
15061550,44.575,44,116.59,117,59.329,54,26.738,26,308.21,314,37.441,33,46.563,41,319.905,314,48.26,67,28.175,19,85.982,5,49.932,27,21.736,26,86.74072,94,84.581,84,5.357,7,184.798,318,94.909,96,30.557,36,337.303,316,33.891,37,35.505,42,81.119,96,62.587,80,17.167,16,307.914,359,28.811,28
15061271,44.219,43,116.561,115,59.352,62,46.436,20,325.322,307,34.766,26,49.635,58,320.045,312,43.025,43,34.772,11,74.644,328,42.879,30,23.062,3,87.53894,71,84.375,92,6.163,7,246.436,318,95.208,96,31.089,36,337.336,346,33.773,42,37.162,42,87.46,96,69.761,80,36.122,44,138.294,117,51.56,54
15060214,44.603,44,116.241,117,60.527,54,36.957,20,319.151,314,38.297,26,48.117,39,318.659,321,53.066,36,33.677,47,84.803,85,59.918,76,14.519,6,84.12475,71,87.592,92,5.474,7,194.579,318,94.807,95,31.351,28,337.438,344,32.598,27,34.796,37,59.361,33,57.8,41,42.36,44,104.257,117,53.808,54
15062074,45.146,44,116.726,117,60.293,54,21.373,20,309.657,307,30.295,26,47.73,31,314.662,304,47.744,70,30.487,41,69.518,86,45.434,80,12.992,3,83.02797,71,86.919,92,5.753,4,227.224,41,95.038,94,30.884,36,333.436,345,32.624,42,35.807,26,63.922,41,57.404,50,41.581,44,149.3,117,52.719,54
15061507,44.472,48,116.432,117,61.025,69,34.073,40,308.382,309,35.449,43,47.251,55,321.437,329,39.068,36,26.801,32,211.483,14,44.143,38,5.901,6,72.97132,71,92.432,92,5.41,4,176.856,41,94.911,94,30.466,30,337.847,334,31.118,27,36.687,42,83.943,96,71.297,80,37.549,44,173.494,117,48.817,54
15061383,44.53,38,116.723,115,58.479,50,25.463,20,308.368,307,30.16,26,48.424,57,320.86,317,43.808,49,25.391,29,83.275,17,36.311,35,16.517,18,86.13404,90,84.437,84,5.529,7,191.992,318,94.983,96,30.986,23,337.371,346,31.675,27,37.349,36,84.074,83,72.411,76,35.237,16,168.974,359,47.986,28
15062149,44.013,38,116.298,115,58.1,53,55.274,53,334.375,341,37.408,44,47.376,58,318.343,322,46.671,43,31.629,29,69.167,17,48.563,35,8.66,18,77.32571,90,91.39,84,6.032,7,230.059,318,95.285,96,29.843,26,340.311,344,32.621,37,38.392,42,70.542,86,63.381,80,29.277,16,210.9,359,41.585,28
15060042,43.651,48,116.229,118,59.153,66,29.135,20,314.171,307,34.977,26,49.258,57,321.282,327,49.237,45,28.215,26,177.851,342,49.676,50,8.161,6,77.30692,71,91.189,92,5.454,5,183.306,52,94.843,94,30.855,26,339.465,346,32.634,27,37.68,42,92.122,96,69.695,80,35.681,16,179.707,359,47.743,28
15061647,44.965,44,116.357,117,60.863,54,24.179,28,309.789,306,28.387,27,43.681,45,312.042,305,53.739,52,34.028,47,80.915,85,50.176,76,17.416,6,83.21364,71,84.934,92,5.754,4,221.721,41,95.08,94,31.463,28,332.609,324,32.711,27,36.085,28,79.749,40,62.511,30,41.849,44,121.959,117,53.41,54
15061477,44.673,45,116.309,115,61.659,72,24.1,20,311.304,307,31.438,26,48.692,58,321.543,312,43.61,43,21.423,8,87.676,313,39.874,29,8.578,6,80.08703,71,91.672,92,5.214,7,171.521,318,94.862,96,30.652,33,338.394,324,32.55,31,37.361,24,87.295,85,71.938,84,36.972,44,174.585,117,49.016,54
15061586,43.595,48,116.067,118,58.39,66,29.957,66,315.69,344,33.476,46,48.67,36,323.409,319,52.456,67,30.058,42,178.434,96,53.871,80,7.609,3,76.1496,71,91.196,92,5.315,5,193.553,344,94.805,95,32.216,22,337.478,344,33.058,42,32.672,37,65.535,41,68.122,54,39.372,44,120.833,117,52.889,54
15062347,45.698,48,116.685,117,63.294,69,20.161,20,309.978,307,28.943,26,45.937,45,310.379,305,50.685,52,17.147,16,217.851,359,39.035,28,20.502,18,86.995,90,84.496,84,5.886,4,222.184,41,95.158,94,30.904,36,333.73,344,34.538,42,33.889,37,43.763,74,61.035,74,42.985,44,129.553,117,53.557,54
15061958,44.685,39,116.51,117,61.533,77,34.604,58,311.526,336,33.094,48,48.966,36,318.921,319,46.951,67,31.548,47,141.806,85,54.381,76,14.406,18,79.19038,90,88.197,84,5.666,4,210.633,41,95.042,94,29.596,28,337.505,344,33.708,50,36.241,39,59.34,41,47.252,43,29.047,44,220.321,117,41.933,54
15062346,44.44,44,116.221,117,61.592,54,29.056,49,308.963,301,34.79,36,49.038,42,318.446,316,49.477,41,33.276,42,87.945,96,56.959,80,15.162,26,86.18061,94,86.134,84,5.294,7,183.24,318,94.894,96,30.177,33,336.325,324,32.65,30,35.62,39,60.531,40,59.489,43,33.997,44,188.307,117,45.788,54
15061639,43.532,44,116.581,117,56.866,54,51.146,58,324.836,322,43.562,43,50.4,43,323.135,319,46.785,61,30.101,28,123.101,345,40.465,30,6.46,6,68.71733,71,92.558,92,5.412,7,208.22,318,94.938,96,31.604,26,340.093,344,33.468,27,34.533,37,88.653,90,73.777,84,37.019,21,116.999,132,52.256,49
15061757,44.027,45,116.493,117,59.328,58,25.346,20,311.115,307,29.31,26,49.904,57,321.126,317,46.738,49,23.786,29,97.075,7,40.981,30,19.557,26,86.24834,94,84.506,84,5.661,5,212.439,344,95.054,95,29.812,22,339.664,344,33.148,50,35.308,32,61.814,41,57.215,29,27.664,16,236.278,359,38.639,28
15061299,43.436,44,116.642,117,55.972,54,33.271,40,313.217,309,40.961,43,49.008,43,318.703,319,48.686,61,30.572,33,188.726,10,46.969,43,6.714,6,73.35091,71,91.481,92,6.145,7,232.814,318,95.207,96,32.343,43,335.472,346,30.701,42,34.16,26,74.21,80,73.689,82,41.574,6,121.321,23,53.179,28
15061653,45.843,44,116.915,117,61.541,54,56.143,58,333.946,336,44.227,48,50.737,55,321.716,328,48.216,52,35.409,35,45.61,83,45.088,75,20.916,26,90.89635,94,84.328,84,5.719,7,210.187,318,95.026,96,31.246,33,340.647,346,33.783,50,38.889,39,84.242,40,71.743,43,43.508,44,120.884,117,53.849,54
15061761,43.78,44,116.01,117,59.681,54,23.346,20,309.262,307,32.129,26,50.813,58,319.968,322,48.216,54,28.236,32,110.443,39,47.015,45,21.494,26,89.86896,94,84.731,84,5.735,4,202.248,41,94.992,94,30.495,28,333.87,344,31.504,27,33.023,20,78.428,35,70.485,78,40.972,44,124.804,117,52.885,54
15062146,44.868,45,116.565,115,60.691,72,24.955,20,309.649,307,26.974,26,51.069,40,320.628,309,44.56,43,10.175,42,247.102,0,34.608,45,30.612,35,85.31417,93,80.808,82,5.866,7,221.062,318,95.114,96,29.701,22,340.66,344,31.668,27,37.782,19,82.688,40,74.079,42,19.123,16,303.609,359,30.222,28
15061655,43.882,48,116.343,118,57.66,66,37.172,55,322.754,329,39.359,36,48.516,36,317.42,309,49.96,66,33.632,47,111.149,85,57.677,76,15.373,18,80.01072,90,87.759,84,5.576,4,204.499,41,94.942,94,32.236,34,335.565,344,33.547,37,35.21,29,63.149,41,60.78,42,43.509,44,79.771,117,55.049,54
15061329,44.686,44,116.563,117,59.187,54,22.047,28,308.507,306,28.52,27,51.02,39,316.247,321,43.826,36,10.899,11,216.325,318,39.924,28,16.741,35,87.26512,93,84.569,82,5.253,4,171.008,41,94.862,94,31.129,39,337.5,321,34.248,36,37.333,42,82.416,96,73.029,80,33.392,16,191.38,359,44.363,28
15061535,44.483,44,116.461,117,59.426,54,21.571,20,308.931,307,29.618,26,47.31,57,316.781,317,41.908,49,26.339,28,153.37,21,36.603,34,17.221,18,84.80551,90,84.635,84,5.912,7,231.507,318,95.279,96,29.569,33,339.914,345,32.224,29,37.131,41,73.51,86,66.597,80,20.621,16,259.204,359,33.233,28
15061578,44.667,44,116.561,117,59.133,54,23.756,55,308.426,329,28.525,36,50.955,43,316.219,319,43.83,61,9.982,16,215.451,3,39.881,30,19.098,6,87.358,71,84.491,92,5.267,4,171.787,41,94.863,94,31.137,34,337.53,344,34.24,42,37.338,36,81.912,83,73.045,79,33.243,6,191.561,23,44.257,28
15061730,44.594,38,116.593,115,59.37,50,27.067,39,307.697,319,37.011,42,46.508,45,320.048,305,48.555,52,30.614,19,86.681,5,50.402,27,23.852,18,86.70071,90,84.42,84,5.357,7,184.619,318,94.905,96,30.563,33,337.272,334,33.89,31,35.388,41,79.181,86,62.135,80,17.393,16,310.632,359,28.903,28
15061627,44.947,48,116.459,116,60.856,76,44.816,49,315.285,320,34.521,54,47.061,36,319.516,309,47.95,66,27.765,32,86.765,41,44.283,60,19.825,6,86.55999,71,84.555,92,6.014,7,241.377,318,95.146,96,31.01,33,335.792,346,32.712,42,35.594,28,77.733,41,58.915,30,38.857,44,135.606,117,50.602,54
15061500,44.578,38,116.283,115,59.349,50,45.458,55,320.771,328,44.709,52,47.751,55,318.878,329,49.683,36,44.855,42,84.846,96,71.16,80,13.587,3,78.75668,71,86.546,92,4.729,4,122.81,41,94.506,94,31.452,33,341.949,344,32.358,41,34.652,39,37.361,41,58.027,43,40.477,44,127.502,117,52.586,54
15061717,45.626,44,116.372,117,62.582,54,25.369,28,309.647,306,29.616,27,44.3,45,316.842,305,50.467,52,31.066,16,62.542,359,45.056,28,16.801,18,86.09629,90,84.458,84,6.155,4,246.548,41,95.2,94,31.195,23,336.107,344,32.671,32,34.564,24,55.845,40,63.609,53,39.784,16,135.143,359,51.525,28
15062122,45.041,48,116.697,118,59.996,66,30.934,20,317.831,307,35.587,26,50.065,33,319.878,324,46.499,31,33.436,8,144.192,313,53.814,29,7.689,6,80.95537,71,91.529,92,5.876,7,214.472,318,95.083,95,30.29,22,336.353,344,33.676,27,38.566,42,59.411,86,57.18,80,16.516,6,191.043,23,31.899,28
15061435,44.027,44,116.484,117,59.313,54,25.981,26,311.541,302,29.846,33,49.907,58,321.193,322,46.885,43,25.738,37,95.713,12,41.173,41,17.759,18,86.40228,90,84.629,84,5.663,7,212.296,318,95.052,96,29.833,22,339.752,344,33.177,27,35.33,42,62.559,40,57.198,45,27.587,16,236.564,359,38.499,28
15061706,43.683,44,116.388,117,57.953,54,39.617,57,324.911,317,44.078,49,48.049,57,318.871,316,52.209,43,33.78,26,120.329,94,58.147,84,15.498,18,80.76116,90,87.899,84,5.736,7,208.19,318,94.967,96,31.943,28,337.833,345,33.398,30,35.036,32,61.838,40,61.616,48,37.398,44,203.085,117,48.955,54
15061624,44.445,44,116.709,117,59.427,54,21.818,55,307.891,329,29.905,36,50.191,40,320.823,308,45.838,38,14.57,39,172.953,17,33.965,43,4.983,6,75.93756,71,91.677,92,5.427,4,182.848,41,94.909,94,29.049,28,338.119,322,30.976,27,38.752,42,87.482,96,74.023,80,17.176,6,252.428,23,30.735,28
15060121,45.697,45,116.685,117,63.333,58,20.178,20,310.09,307,28.914,26,46.009,45,310.43,305,50.64,52,16.853,16,217.993,359,39.053,28,19.942,6,86.97422,71,84.48,92,5.879,7,221.738,318,95.154,95,30.895,36,333.81,316,34.583,30,33.87,41,45.526,96,60.607,82,42.901,44,130.296,117,53.462,54
15061423,44.224,44,116.468,117,58.568,54,40.713,33,325.223,324,41.642,31,47.165,49,318.888,320,52.329,54,33.166,29,93.541,17,37.395,35,8.828,6,79.74822,71,90.421,92,5.168,4,158.139,41,94.802,94,31.719,36,336.573,316,33.472,27,38.384,41,90.016,86,78.466,80,44.159,44,116.707,117,54.394,54
15061488,44.866,44,116.914,117,59.389,54,37.859,40,319.3,308,35.419,38,52.533,58,323.813,322,44.879,43,12.87,11,230.763,328,39.246,30,19.494,6,85.2684,71,84.294,92,5.499,4,197.185,41,94.94,94,29.993,33,340.054,324,33.714,27,36.708,35,85.136,83,69.479,75,15.944,16,192.733,359,31.532,28
15061916,44.508,38,116.714,112,58.459,58,28.86,20,308.409,307,30.174,26,48.386,39,320.85,321,43.618,36,25.143,19,82.573,5,36.272,27,16.039,18,86.15061,90,84.448,84,5.506,4,190.31,41,94.974,94,30.956,36,337.367,345,31.646,33,37.354,35,84.049,83,71.889,75,35.076,44,169.584,117,47.834,54
15061487,44.245,38,116.341,115,60.471,53,28.94,20,311.963,307,35.402,26,46.71,39,318.397,319,47.036,42,28.646,16,140.491,3,46.865,30,12.405,6,78.44226,71,88.475,92,5.536,7,190.75,318,95.005,96,30.581,28,338.214,316,33.445,27,36.445,42,73.367,96,66.996,80,25.101,6,254.216,23,36.584,28
15061281,43.822,38,116.123,115,59.655,50,43.659,49,325.355,320,42.959,54,50.224,60,323.577,332,44.761,41,29.722,37,35.534,18,42.564,42,16.004,6,83.47074,71,84.556,92,5.35,7,166.927,318,94.637,96,32.949,26,338.807,345,33.405,27,36.803,42,85.107,96,72.775,80,43.879,44,128.204,117,54.283,54
15061937,45.141,50,116.722,115,60.283,71,21.406,20,309.268,307,29.955,26,47.777,39,314.762,321,47.87,36,32.691,16,71.572,359,45.546,28,16.742,3,83.20211,71,86.252,92,5.748,4,226.997,41,95.035,94,30.847,36,333.451,328,32.607,31,35.835,42,61.431,96,57.139,80,41.505,44,149.594,117,52.613,54
