"nMarkers","HCLTraits","Traits","HCLs","Models","Means"
30,"BerryC.H","BerryC","H","GBLUP",0.1358
30,"BerryC.L","BerryC","L","GBLUP",0.1812
30,"PCSprout.C","PCSprout","C","BRR",0.6086
30,"PCSprout.H","PCSprout","H","BRR",0.30568
30,"PCSprout.L","PCSprout","L","RKHS",0.4602
30,"PCFlower.C","PCFlower","C","BL",0.63732
30,"PCFlower.H","PCFlower","H","RKHS",0.8808
30,"PCFlower.L","PCFlower","L","BA",0.6538
30,"PCTuberskin.C","PCTuberskin","C","RKHS",0.57768
30,"PCTuberskin.H","PCTuberskin","H","RKHS",0.475
30,"PCTuberskin.L","PCTuberskin","L","GBLUP",0.56504
30,"PCTuberflesh.C","PCTuberflesh","C","GBLUP",0.49388
30,"PCTuberflesh.H","PCTuberflesh","H","RKHS",0.36128
30,"PCTuberflesh.L","PCTuberflesh","L","GBLUP",0.49544
30,"SCSprout.C","SCSprout","C","RKHS",0.26424
30,"SCSprout.H","SCSprout","H","GBLUP",0.23788
30,"SCSprout.L","SCSprout","L","BC",0.30556
30,"SCTuberflesh.C","SCTuberflesh","C","BL",0.21632
30,"SCTuberflesh.H","SCTuberflesh","H","GBLUP",0.1124
30,"SCTuberflesh.L","SCTuberflesh","L","BC",0.3464
30,"SCTuberskin.C","SCTuberskin","C","GBLUP",0.25196
30,"SCTuberskin.H","SCTuberskin","H","GBLUP",0.26724
30,"SCTuberskin.L","SCTuberskin","L","GBLUP",0.38728
30,"StemC.C","StemC","C","GBLUP",0.69464
30,"StemC.H","StemC","H","GBLUP",0.50908
30,"StemC.L","StemC","L","BL",0.72696
40,"BerryC.C","BerryC","C","GBLUP",0.17788
40,"BerryC.H","BerryC","H","GBLUP",0.12464
40,"BerryC.L","BerryC","L","GBLUP",0.16928
40,"PCSprout.C","PCSprout","C","RKHS",0.61232
40,"PCSprout.H","PCSprout","H","RKHS",0.34964
40,"PCSprout.L","PCSprout","L","GBLUP",0.47456
40,"PCFlower.C","PCFlower","C","GBLUP",0.647
40,"PCFlower.H","PCFlower","H","RKHS",0.8846
40,"PCFlower.L","PCFlower","L","GBLUP",0.67524
40,"PCTuberskin.C","PCTuberskin","C","GBLUP",0.59448
40,"PCTuberskin.H","PCTuberskin","H","GBLUP",0.47428
40,"PCTuberskin.L","PCTuberskin","L","GBLUP",0.57468
40,"PCTuberflesh.C","PCTuberflesh","C","GBLUP",0.50652
40,"PCTuberflesh.H","PCTuberflesh","H","GBLUP",0.41876
40,"PCTuberflesh.L","PCTuberflesh","L","GBLUP",0.488
40,"SCSprout.C","SCSprout","C","GBLUP",0.26368
40,"SCSprout.H","SCSprout","H","GBLUP",0.2406
40,"SCSprout.L","SCSprout","L","GBLUP",0.29176
40,"SCTuberflesh.C","SCTuberflesh","C","GBLUP",0.2232
40,"SCTuberflesh.H","SCTuberflesh","H","GBLUP",0.11412
40,"SCTuberflesh.L","SCTuberflesh","L","GBLUP",0.36664
40,"SCTuberskin.C","SCTuberskin","C","GBLUP",0.23344
40,"SCTuberskin.H","SCTuberskin","H","GBLUP",0.24384
40,"SCTuberskin.L","SCTuberskin","L","GBLUP",0.403
40,"StemC.C","StemC","C","GBLUP",0.69276
40,"StemC.H","StemC","H","GBLUP",0.50036
40,"StemC.L","StemC","L","GBLUP",0.74144
50,"BerryC.C","BerryC","C","GBLUP",0.1846
50,"BerryC.H","BerryC","H","BRR",0.11624
50,"BerryC.L","BerryC","L","GBLUP",0.14408
50,"PCSprout.C","PCSprout","C","GBLUP",0.6086
50,"PCSprout.H","PCSprout","H","RKHS",0.3474
50,"PCSprout.L","PCSprout","L","RKHS",0.47832
50,"PCFlower.C","PCFlower","C","BC",0.64536
50,"PCFlower.H","PCFlower","H","GBLUP",0.8868
50,"PCFlower.L","PCFlower","L","RKHS",0.65684
50,"PCTuberskin.C","PCTuberskin","C","GBLUP",0.59376
50,"PCTuberskin.H","PCTuberskin","H","BA",0.47764
50,"PCTuberskin.L","PCTuberskin","L","GBLUP",0.5512
50,"PCTuberflesh.C","PCTuberflesh","C","GBLUP",0.48712
50,"PCTuberflesh.H","PCTuberflesh","H","GBLUP",0.38612
50,"PCTuberflesh.L","PCTuberflesh","L","RKHS",0.4746
50,"SCSprout.C","SCSprout","C","GBLUP",0.26284
50,"SCSprout.H","SCSprout","H","GBLUP",0.23108
50,"SCSprout.L","SCSprout","L","RKHS",0.30932
50,"SCTuberflesh.C","SCTuberflesh","C","GBLUP",0.21872
50,"SCTuberflesh.H","SCTuberflesh","H","GBLUP",0.12032
50,"SCTuberflesh.L","SCTuberflesh","L","RKHS",0.34328
50,"SCTuberskin.C","SCTuberskin","C","GBLUP",0.21356
50,"SCTuberskin.H","SCTuberskin","H","GBLUP",0.23488
50,"SCTuberskin.L","SCTuberskin","L","RKHS",0.40016
50,"StemC.C","StemC","C","GBLUP",0.68664
50,"StemC.H","StemC","H","GBLUP",0.49252
50,"StemC.L","StemC","L","GBLUP",0.73524
60,"BerryC.C","BerryC","C","GBLUP",0.17392
60,"BerryC.H","BerryC","H","BRR",0.10016
60,"BerryC.L","BerryC","L","GBLUP",0.15332
60,"PCSprout.C","PCSprout","C","RKHS",0.6032
60,"PCSprout.H","PCSprout","H","RKHS",0.3428
60,"PCSprout.L","PCSprout","L","GBLUP",0.47096
60,"PCFlower.C","PCFlower","C","BL",0.63924
60,"PCFlower.H","PCFlower","H","RKHS",0.87504
60,"PCFlower.L","PCFlower","L","BA",0.65468
60,"PCTuberskin.C","PCTuberskin","C","RKHS",0.5734
60,"PCTuberskin.H","PCTuberskin","H","RKHS",0.46616
60,"PCTuberskin.L","PCTuberskin","L","GBLUP",0.53908
60,"PCTuberflesh.C","PCTuberflesh","C","BRR",0.49328
60,"PCTuberflesh.H","PCTuberflesh","H","GBLUP",0.38188
60,"PCTuberflesh.L","PCTuberflesh","L","BA",0.45148
60,"SCSprout.C","SCSprout","C","BL",0.25684
60,"SCSprout.H","SCSprout","H","BRR",0.2178
60,"SCSprout.L","SCSprout","L","BL",0.3102
60,"SCTuberflesh.C","SCTuberflesh","C","BL",0.23056
60,"SCTuberflesh.H","SCTuberflesh","H","BRR",0.09636
60,"SCTuberflesh.L","SCTuberflesh","L","BL",0.3424
60,"SCTuberskin.C","SCTuberskin","C","BC",0.21872
60,"SCTuberskin.H","SCTuberskin","H","GBLUP",0.19772
60,"SCTuberskin.L","SCTuberskin","L","GBLUP",0.38616
60,"StemC.C","StemC","C","GBLUP",0.69828
60,"StemC.H","StemC","H","GBLUP",0.48612
60,"StemC.L","StemC","L","GBLUP",0.72388
70,"BerryC.C","BerryC","C","GBLUP",0.16732
70,"BerryC.H","BerryC","H","BRR",0.10344
70,"BerryC.L","BerryC","L","GBLUP",0.14288
70,"PCSprout.C","PCSprout","C","GBLUP",0.595
70,"PCSprout.H","PCSprout","H","BRR",0.35296
70,"PCSprout.L","PCSprout","L","GBLUP",0.45716
70,"PCFlower.C","PCFlower","C","BA",0.62384
70,"PCFlower.H","PCFlower","H","GBLUP",0.8592
70,"PCFlower.L","PCFlower","L","RKHS",0.6502
70,"PCTuberskin.C","PCTuberskin","C","BA",0.55492
70,"PCTuberskin.H","PCTuberskin","H","BA",0.47784
70,"PCTuberskin.L","PCTuberskin","L","GBLUP",0.5236
70,"PCTuberflesh.C","PCTuberflesh","C","BRR",0.47316
70,"PCTuberflesh.H","PCTuberflesh","H","RKHS",0.36764
70,"PCTuberflesh.L","PCTuberflesh","L","RKHS",0.44696
70,"SCSprout.C","SCSprout","C","BA",0.24492
70,"SCSprout.H","SCSprout","H","RKHS",0.22396
70,"SCSprout.L","SCSprout","L","RKHS",0.30632
70,"SCTuberflesh.C","SCTuberflesh","C","GBLUP",0.226
70,"SCTuberflesh.H","SCTuberflesh","H","GBLUP",0.12204
70,"SCTuberflesh.L","SCTuberflesh","L","BL",0.33996
70,"SCTuberskin.C","SCTuberskin","C","RKHS",0.192
70,"SCTuberskin.H","SCTuberskin","H","GBLUP",0.15616
70,"SCTuberskin.L","SCTuberskin","L","RKHS",0.37124
70,"StemC.C","StemC","C","GBLUP",0.68916
70,"StemC.H","StemC","H","GBLUP",0.4832
70,"StemC.L","StemC","L","GBLUP",0.71848
80,"BerryC.C","BerryC","C","GBLUP",0.15216
80,"BerryC.H","BerryC","H","BC",0.09704
80,"BerryC.L","BerryC","L","BC",0.12368
80,"PCSprout.C","PCSprout","C","RKHS",0.60032
80,"PCSprout.H","PCSprout","H","BC",0.3336
80,"PCSprout.L","PCSprout","L","BRR",0.46072
80,"PCFlower.C","PCFlower","C","RKHS",0.63584
80,"PCFlower.H","PCFlower","H","BA",0.84996
80,"PCFlower.L","PCFlower","L","RKHS",0.63628
80,"PCTuberskin.C","PCTuberskin","C","RKHS",0.549
80,"PCTuberskin.H","PCTuberskin","H","RKHS",0.4518
80,"PCTuberskin.L","PCTuberskin","L","RKHS",0.51016
80,"PCTuberflesh.C","PCTuberflesh","C","BC",0.46956
80,"PCTuberflesh.H","PCTuberflesh","H","RKHS",0.34712
80,"PCTuberflesh.L","PCTuberflesh","L","BL",0.44812
80,"SCSprout.C","SCSprout","C","BA",0.25556
80,"SCSprout.H","SCSprout","H","BRR",0.21344
80,"SCSprout.L","SCSprout","L","BA",0.30052
80,"SCTuberflesh.C","SCTuberflesh","C","RKHS",0.21956
80,"SCTuberflesh.H","SCTuberflesh","H","BA",0.08616
80,"SCTuberflesh.L","SCTuberflesh","L","BC",0.35488
80,"SCTuberskin.C","SCTuberskin","C","RKHS",0.19824
80,"SCTuberskin.H","SCTuberskin","H","BRR",0.15732
80,"SCTuberskin.L","SCTuberskin","L","GBLUP",0.37656
80,"StemC.C","StemC","C","BA",0.67392
80,"StemC.H","StemC","H","RKHS",0.47056
80,"StemC.L","StemC","L","BC",0.71752
