"BASE","GSCORE","TRAIT","LGSCORE","TOOL","MODEL","GC","SNP","CHR","POS","P","SCORE","THRESHOLD","SIGNIFICANCE","ScoresRepl","ScoresSign","ScoreGC"
"CBaya",0.728,"CBaya.C",0.732,"TASSEL","additive",0.903,"c2_23713",0,389554,0.760300348725468,0.119015,4.299725,FALSE,78,0,0.903
"CBaya",0.728,"CBaya.C",0.732,"TASSEL","additive",0.903,"c2_54811",1,52996601,0.863649813068719,0.063662,4.299725,FALSE,78,0,0.903
"CBaya",0.728,"CBaya.C",0.732,"TASSEL","additive",0.903,"c1_8619",1,7252495,0.88811265889271,0.051532,4.299725,FALSE,78,0,0.903
"CBaya",0.728,"CBaya.C",0.732,"TASSEL","additive",0.903,"c2_36664",1,809153,0.95112262238375,0.021763,4.299725,FALSE,78,0,0.903
"CBaya",0.728,"CBaya.C",0.732,"TASSEL","additive",0.903,"c2_57678",0,50463795,0.962290237735524,0.016694,4.299725,FALSE,78,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c1_513",7,37737782,0.0011349151662795,2.945037,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c2_40858",9,58867551,0.00184106016010811,2.734932,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c2_28228",7,52565452,0.00794011393253121,2.100173,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c2_19081",8,54991187,0.0102683308358199,1.9885,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c2_37329",6,55682080,0.0138622954870065,1.858165,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c2_1514",9,29700506,0.0177897798229728,1.749829,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c2_55124",9,29618178,0.0230131768822015,1.638023,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c2_1486",9,30657636,0.0230983819597689,1.636418,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c2_1493",9,31891968,0.0230983819597689,1.636418,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c1_2319",9,34137871,0.0230983819597689,1.636418,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c2_681",9,36710524,0.0230983819597689,1.636418,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c2_680",9,36710610,0.0230983819597689,1.636418,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c2_10539",4,68952759,0.0268247694727066,1.571464,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c2_56627",11,11020656,0.0294241877578097,1.531296,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c2_11679",10,44620849,0.0323393219528617,1.490269,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c2_14274",1,75053929,0.0393771812501646,1.404755,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c2_4165",9,3915451,0.0430091919076805,1.366439,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c2_40745",12,47362541,0.0433931303587546,1.362579,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c2_28665",10,60022055,0.0472512188842541,1.325587,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c2_3146",6,5211425,0.0472860805613046,1.325267,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c2_5774",6,50572507,0.0481484046769287,1.317418,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c2_35411",9,5445375,0.0490027139038343,1.30978,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c1_12015",5,48976718,0.0495517388578429,1.304941,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c1_6869",3,41009095,0.0600931656039597,1.221175,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c2_32467",12,5980197,0.0605035424660792,1.218219,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c2_27961",12,55744163,0.0615389776825131,1.21085,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c2_17900",2,34459045,0.066880545554158,1.1747,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c2_17899",2,34459132,0.066880545554158,1.1747,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c1_16470",6,43205349,0.0689514631174973,1.161457,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c2_38551",2,45126593,0.0718329017717693,1.143677,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c1_11211",4,59858990,0.0749118560076461,1.125449,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c2_39342",4,61680075,0.0780593676412609,1.107575,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c2_38552",2,45126722,0.0781685275750758,1.106968,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c2_49495",2,35025916,0.0867335779184377,1.061813,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c1_6748",4,62391020,0.088151147331583,1.054772,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c1_15579",1,71530931,0.0890218292506284,1.050503,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c1_15580",1,71530961,0.0890218292506284,1.050503,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c2_24454",12,59193947,0.0902177336665016,1.044708,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c1_16459",9,56104281,0.0916148681363474,1.038034,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c2_35592",6,30107444,0.107421979935008,0.968907,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c1_1323",11,41159413,0.108107764375838,0.966143,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c1_11458",2,45124973,0.112050926191624,0.950585,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c2_23254",12,7260563,0.122985534328704,0.910146,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c2_13766",1,69151882,0.123744647916042,0.907474,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c1_9027",10,56953687,0.129674902296769,0.887144,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c1_4847",2,43151687,0.129795428814499,0.886741,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c2_34557",7,21039147,0.131473991687987,0.88116,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c1_10031",7,47020118,0.132428364147192,0.878019,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c2_57257",3,52006963,0.135142440678348,0.869208,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c2_52700",8,52035522,0.142425218419921,0.846413,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c2_36714",6,5921332,0.145958490848169,0.835771,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c2_39035",9,1064131,0.148329730750255,0.828772,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c2_10617",4,68743219,0.150707105207406,0.821866,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c1_16258",4,11641080,0.157659729381125,0.802279,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c2_55199",2,33572556,0.158215886996516,0.80075,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c1_3497",4,68769666,0.158701609676579,0.799419,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c1_5560",8,57530640,0.162243074747535,0.789834,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c2_44804",9,53326789,0.170595760227259,0.768032,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c2_16718",4,47529897,0.17808889971123,0.749363,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c2_54204",8,3526746,0.17862799015116,0.74805,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c2_53273",11,10339933,0.181175632921954,0.7419,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c1_7192",10,58252277,0.182138246102156,0.739599,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c1_13236",2,30080660,0.18254564993065,0.738629,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c2_40699",12,53644230,0.182745963823504,0.738152,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c2_30297",11,44107450,0.183455883746885,0.736468,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c2_25560",3,46842107,0.187513485510708,0.726967,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c2_11479",4,7767497,0.197996136009998,0.703343,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c2_41396",10,46825111,0.19832308924087,0.702627,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c1_216",9,36014044,0.201042882224729,0.696711,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c2_17539",1,71416070,0.205256298799008,0.687704,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c1_7658",11,7019700,0.208535799620536,0.680819,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c2_7549",2,39073865,0.213429056033872,0.670746,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c1_3868",1,72337941,0.214923986073439,0.667715,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c1_16172",2,35468438,0.222254994041761,0.653148,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c2_9039",6,57394760,0.224968191701271,0.647879,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c2_45603",10,48971709,0.226638238337338,0.644667,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c2_33892",6,49952539,0.228382427315257,0.641337,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c1_11356",4,58789793,0.229102562304856,0.63997,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c2_10568",4,68868824,0.231865254841361,0.634764,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c2_18945",8,45930362,0.234237017145595,0.630344,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c2_27650",9,51854006,0.238737443546822,0.622079,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c2_48810",4,53315344,0.240117276929249,0.619577,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c1_4803",1,87065450,0.250879167835814,0.600535,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c1_3484",4,68859403,0.254747201623651,0.593891,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c2_17896",2,34459585,0.255053929244402,0.593368,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c2_27271",2,42001715,0.255461715473858,0.592674,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c1_3867",1,72337680,0.256545717775545,0.590835,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c1_3476",4,68871390,0.256738805601445,0.590508,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c1_12377",2,35334126,0.256910892689054,0.590217,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c2_46708",7,4607422,0.258781980493928,0.587066,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c1_10457",7,50710645,0.263321452430783,0.579514,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c2_12786",9,52719060,0.264834146900102,0.577026,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c2_6185",11,4232240,0.265089588835396,0.576607,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c2_30296",12,39466807,0.277926852130193,0.556069,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c1_14442",4,48648958,0.283884648084039,0.546858,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c1_12945",4,55649379,0.284397324126209,0.546074,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c2_32790",10,5988843,0.290638605850087,0.536647,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c1_3793",5,3721408,0.294069833144587,0.53155,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c1_10751",4,56641710,0.294517103256768,0.530889,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c2_52053",5,20212269,0.298041356100141,0.525723,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c1_5656",1,71751985,0.299450330821678,0.523675,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c2_34872",4,65068522,0.309076908288375,0.509933,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c2_21682",2,24387770,0.309432887945106,0.509434,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c1_7381",7,44327865,0.31236249724725,0.505341,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c2_27563",6,3628154,0.316663432365908,0.499402,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c2_19584",4,64858220,0.324704405709793,0.488512,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c2_17060",8,57530334,0.329584111175645,0.482034,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c2_34777",12,51975839,0.332036736214219,0.478814,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c2_3512",5,54654441,0.332905856059852,0.477679,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c2_56059",6,38800602,0.334030594516739,0.476214,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c2_55700",6,43998646,0.335417975704518,0.474414,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c2_23139",2,29015208,0.35794966371134,0.446178,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c2_48184",8,44057388,0.372489475815358,0.428886,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c2_48808",4,53349146,0.376181794378431,0.424602,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c2_12789",9,52720097,0.385156026044921,0.414363,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c2_12959",4,66197658,0.393708704618785,0.404825,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c2_34017",4,67147687,0.400796511394865,0.397076,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c2_22301",6,53614740,0.414820080504157,0.38214,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c2_12953",4,66208806,0.423859331166922,0.372778,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c2_20333",3,47886232,0.431399782942262,0.36512,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c2_43736",4,61312752,0.434141826748135,0.362368,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c2_12957",4,66207413,0.437185709264921,0.359334,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c2_12955",4,66207542,0.437185709264921,0.359334,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c1_7678",6,54726821,0.437230369565439,0.35929,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c1_11137",6,55716119,0.438230750501862,0.358297,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c1_4319",11,1240937,0.438965878097531,0.357569,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c2_19135",8,54844010,0.441244216328903,0.355321,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c1_449",9,18550286,0.443964033067001,0.352652,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c2_38938",2,26500723,0.444729419001373,0.351904,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c1_16414",9,58590119,0.451657502644336,0.345191,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c2_52069",5,1907418,0.453514622267921,0.343409,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c2_54589",13,39879940,0.455052236761639,0.341939,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c2_40879",9,58749360,0.459404528492738,0.337805,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c2_27003",9,59671840,0.460451568616917,0.336816,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c2_43588",7,4257126,0.461960879972551,0.335395,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c1_11935",7,6096223,0.463253302129631,0.334181,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c1_7680",6,54682311,0.464148905468148,0.333343,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c2_33280",7,57508926,0.472784267974628,0.325337,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c2_57254",3,52006651,0.47540854546292,0.322933,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c1_10461",7,50712754,0.475512360488128,0.322838,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c1_8763",8,59114829,0.477204190859972,0.321296,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c2_14848",1,87310101,0.478304532746008,0.320296,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c1_3074",6,57334590,0.47933937023922,0.319357,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c2_14636",9,56854426,0.483341668104489,0.315746,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c2_13751",1,66106436,0.493354308483353,0.306841,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c2_24536",12,59370389,0.500257542958214,0.300806,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c2_35944",4,67811114,0.503237321340569,0.298227,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c2_33422",8,43959543,0.506011702120433,0.295839,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c2_40831",10,46445283,0.506186477972524,0.295689,4.299725,FALSE,77,0,0.903
"CBaya",0.727,"CBaya.C",0.732,"TASSEL","additive",0.903,"c2_23832",5,783100,0.509889517339756,0.292524,4.299725,FALSE,77,0,0.903
