"","nMarkers","HCLTraits","Traits","HCLs","Models","Means"
"90",100,"PCFlower.L","PCFlower","L","BL",0.64032
"91",100,"PCTuberskin.C","PCTuberskin","C","BC",0.54536
"92",100,"PCTuberskin.H","PCTuberskin","H","BC",0.44268
"93",100,"PCTuberskin.L","PCTuberskin","L","RKHS",0.5026
"97",100,"SCSprout.C","SCSprout","C","BC",0.24576
"98",100,"SCSprout.H","SCSprout","H","BC",0.18728
"99",100,"SCSprout.L","SCSprout","L","BA",0.29116
"100",100,"SCTuberflesh.C","SCTuberflesh","C","BA",0.2284
"101",100,"SCTuberflesh.H","SCTuberflesh","H","GBLUP",0.08216
"102",100,"SCTuberflesh.L","SCTuberflesh","L","GBLUP",0.34124
"103",100,"SCTuberskin.C","SCTuberskin","C","RKHS",0.18004
"104",100,"SCTuberskin.H","SCTuberskin","H","BC",0.13744
"105",100,"SCTuberskin.L","SCTuberskin","L","BC",0.36248
"106",100,"StemC.C","StemC","C","RKHS",0.67676
"107",100,"StemC.H","StemC","H","RKHS",0.4648
"108",100,"StemC.L","StemC","L","RKHS",0.7052
"112",20,"PCSprout.C","PCSprout","C","RKHS",0.59216
"113",20,"PCSprout.H","PCSprout","H","BRR",0.3118
"114",20,"PCSprout.L","PCSprout","L","BRR",0.45688
"115",20,"PCFlower.C","PCFlower","C","BC",0.60844
"116",20,"PCFlower.H","PCFlower","H","RKHS",0.86396
"117",20,"PCFlower.L","PCFlower","L","RKHS",0.6298
"118",20,"PCTuberskin.C","PCTuberskin","C","BRR",0.5438
"119",20,"PCTuberskin.H","PCTuberskin","H","RKHS",0.45536
"120",20,"PCTuberskin.L","PCTuberskin","L","RKHS",0.50996
"124",20,"SCSprout.C","SCSprout","C","RKHS",0.2314
"125",20,"SCSprout.H","SCSprout","H","BC",0.19028
"126",20,"SCSprout.L","SCSprout","L","BL",0.2796
"127",20,"SCTuberflesh.C","SCTuberflesh","C","BRR",0.21104
"128",20,"SCTuberflesh.H","SCTuberflesh","H","BL",0.07936
"129",20,"SCTuberflesh.L","SCTuberflesh","L","BC",0.3518
"130",20,"SCTuberskin.C","SCTuberskin","C","RKHS",0.2076
"131",20,"SCTuberskin.H","SCTuberskin","H","BC",0.13184
"132",20,"SCTuberskin.L","SCTuberskin","L","RKHS",0.35128
"133",20,"StemC.C","StemC","C","BA",0.67592
"134",20,"StemC.H","StemC","H","RKHS",0.475
"135",20,"StemC.L","StemC","L","BC",0.72584
"139",30,"PCSprout.C","PCSprout","C","BRR",0.6086
"140",30,"PCSprout.H","PCSprout","H","BRR",0.30568
"141",30,"PCSprout.L","PCSprout","L","RKHS",0.4602
"142",30,"PCFlower.C","PCFlower","C","BL",0.63732
"143",30,"PCFlower.H","PCFlower","H","RKHS",0.8808
"144",30,"PCFlower.L","PCFlower","L","BA",0.6538
"145",30,"PCTuberskin.C","PCTuberskin","C","RKHS",0.57768
"146",30,"PCTuberskin.H","PCTuberskin","H","RKHS",0.475
"147",30,"PCTuberskin.L","PCTuberskin","L","GBLUP",0.56504
"151",30,"SCSprout.C","SCSprout","C","RKHS",0.26424
"152",30,"SCSprout.H","SCSprout","H","GBLUP",0.23788
"153",30,"SCSprout.L","SCSprout","L","BC",0.30556
"154",30,"SCTuberflesh.C","SCTuberflesh","C","BL",0.21632
"155",30,"SCTuberflesh.H","SCTuberflesh","H","GBLUP",0.1124
"156",30,"SCTuberflesh.L","SCTuberflesh","L","BC",0.3464
"157",30,"SCTuberskin.C","SCTuberskin","C","GBLUP",0.25196
"158",30,"SCTuberskin.H","SCTuberskin","H","GBLUP",0.26724
"159",30,"SCTuberskin.L","SCTuberskin","L","GBLUP",0.38728
"160",30,"StemC.C","StemC","C","GBLUP",0.69464
"161",30,"StemC.H","StemC","H","GBLUP",0.50908
"162",30,"StemC.L","StemC","L","BL",0.72696
"166",40,"PCSprout.C","PCSprout","C","RKHS",0.61232
"167",40,"PCSprout.H","PCSprout","H","RKHS",0.34964
"168",40,"PCSprout.L","PCSprout","L","GBLUP",0.47456
"169",40,"PCFlower.C","PCFlower","C","GBLUP",0.647
"170",40,"PCFlower.H","PCFlower","H","RKHS",0.8846
"171",40,"PCFlower.L","PCFlower","L","GBLUP",0.67524
"172",40,"PCTuberskin.C","PCTuberskin","C","GBLUP",0.59448
"173",40,"PCTuberskin.H","PCTuberskin","H","GBLUP",0.47428
"174",40,"PCTuberskin.L","PCTuberskin","L","GBLUP",0.57468
"178",40,"SCSprout.C","SCSprout","C","GBLUP",0.26368
"179",40,"SCSprout.H","SCSprout","H","GBLUP",0.2406
"180",40,"SCSprout.L","SCSprout","L","GBLUP",0.29176
"181",40,"SCTuberflesh.C","SCTuberflesh","C","GBLUP",0.2232
"182",40,"SCTuberflesh.H","SCTuberflesh","H","GBLUP",0.11412
"183",40,"SCTuberflesh.L","SCTuberflesh","L","GBLUP",0.36664
"184",40,"SCTuberskin.C","SCTuberskin","C","GBLUP",0.23344
"185",40,"SCTuberskin.H","SCTuberskin","H","GBLUP",0.24384
"186",40,"SCTuberskin.L","SCTuberskin","L","GBLUP",0.403
"187",40,"StemC.C","StemC","C","GBLUP",0.69276
"188",40,"StemC.H","StemC","H","GBLUP",0.50036
"189",40,"StemC.L","StemC","L","GBLUP",0.74144
"193",50,"PCSprout.C","PCSprout","C","GBLUP",0.6086
"194",50,"PCSprout.H","PCSprout","H","RKHS",0.3474
"195",50,"PCSprout.L","PCSprout","L","RKHS",0.47832
"196",50,"PCFlower.C","PCFlower","C","BC",0.64536
"197",50,"PCFlower.H","PCFlower","H","GBLUP",0.8868
"198",50,"PCFlower.L","PCFlower","L","RKHS",0.65684
"199",50,"PCTuberskin.C","PCTuberskin","C","GBLUP",0.59376
"200",50,"PCTuberskin.H","PCTuberskin","H","BA",0.47764
"201",50,"PCTuberskin.L","PCTuberskin","L","GBLUP",0.5512
"205",50,"SCSprout.C","SCSprout","C","GBLUP",0.26284
"206",50,"SCSprout.H","SCSprout","H","GBLUP",0.23108
"207",50,"SCSprout.L","SCSprout","L","RKHS",0.30932
"208",50,"SCTuberflesh.C","SCTuberflesh","C","GBLUP",0.21872
"209",50,"SCTuberflesh.H","SCTuberflesh","H","GBLUP",0.12032
"210",50,"SCTuberflesh.L","SCTuberflesh","L","RKHS",0.34328
"211",50,"SCTuberskin.C","SCTuberskin","C","GBLUP",0.21356
"212",50,"SCTuberskin.H","SCTuberskin","H","GBLUP",0.23488
"213",50,"SCTuberskin.L","SCTuberskin","L","RKHS",0.40016
"214",50,"StemC.C","StemC","C","GBLUP",0.68664
"215",50,"StemC.H","StemC","H","GBLUP",0.49252
"216",50,"StemC.L","StemC","L","GBLUP",0.73524
"220",60,"PCSprout.C","PCSprout","C","RKHS",0.6032
"221",60,"PCSprout.H","PCSprout","H","RKHS",0.3428
"222",60,"PCSprout.L","PCSprout","L","GBLUP",0.47096
"223",60,"PCFlower.C","PCFlower","C","BL",0.63924
"224",60,"PCFlower.H","PCFlower","H","RKHS",0.87504
"225",60,"PCFlower.L","PCFlower","L","BA",0.65468
"226",60,"PCTuberskin.C","PCTuberskin","C","RKHS",0.5734
"227",60,"PCTuberskin.H","PCTuberskin","H","RKHS",0.46616
"228",60,"PCTuberskin.L","PCTuberskin","L","GBLUP",0.53908
"232",60,"SCSprout.C","SCSprout","C","BL",0.25684
"233",60,"SCSprout.H","SCSprout","H","BRR",0.2178
"234",60,"SCSprout.L","SCSprout","L","BL",0.3102
"235",60,"SCTuberflesh.C","SCTuberflesh","C","BL",0.23056
"236",60,"SCTuberflesh.H","SCTuberflesh","H","BRR",0.09636
"237",60,"SCTuberflesh.L","SCTuberflesh","L","BL",0.3424
"238",60,"SCTuberskin.C","SCTuberskin","C","BC",0.21872
"239",60,"SCTuberskin.H","SCTuberskin","H","GBLUP",0.19772
"240",60,"SCTuberskin.L","SCTuberskin","L","GBLUP",0.38616
"241",60,"StemC.C","StemC","C","GBLUP",0.69828
"242",60,"StemC.H","StemC","H","GBLUP",0.48612
"243",60,"StemC.L","StemC","L","GBLUP",0.72388
"247",70,"PCSprout.C","PCSprout","C","GBLUP",0.595
"248",70,"PCSprout.H","PCSprout","H","BRR",0.35296
"249",70,"PCSprout.L","PCSprout","L","GBLUP",0.45716
"250",70,"PCFlower.C","PCFlower","C","BA",0.62384
"251",70,"PCFlower.H","PCFlower","H","GBLUP",0.8592
"252",70,"PCFlower.L","PCFlower","L","RKHS",0.6502
"253",70,"PCTuberskin.C","PCTuberskin","C","BA",0.55492
"254",70,"PCTuberskin.H","PCTuberskin","H","BA",0.47784
"255",70,"PCTuberskin.L","PCTuberskin","L","GBLUP",0.5236
"259",70,"SCSprout.C","SCSprout","C","BA",0.24492
"260",70,"SCSprout.H","SCSprout","H","RKHS",0.22396
"261",70,"SCSprout.L","SCSprout","L","RKHS",0.30632
"262",70,"SCTuberflesh.C","SCTuberflesh","C","GBLUP",0.226
"263",70,"SCTuberflesh.H","SCTuberflesh","H","GBLUP",0.12204
"264",70,"SCTuberflesh.L","SCTuberflesh","L","BL",0.33996
"265",70,"SCTuberskin.C","SCTuberskin","C","RKHS",0.192
"266",70,"SCTuberskin.H","SCTuberskin","H","GBLUP",0.15616
"267",70,"SCTuberskin.L","SCTuberskin","L","RKHS",0.37124
"268",70,"StemC.C","StemC","C","GBLUP",0.68916
"269",70,"StemC.H","StemC","H","GBLUP",0.4832
"270",70,"StemC.L","StemC","L","GBLUP",0.71848
"274",80,"PCSprout.C","PCSprout","C","RKHS",0.60032
"275",80,"PCSprout.H","PCSprout","H","BC",0.3336
"276",80,"PCSprout.L","PCSprout","L","BRR",0.46072
"277",80,"PCFlower.C","PCFlower","C","RKHS",0.63584
"278",80,"PCFlower.H","PCFlower","H","BA",0.84996
"279",80,"PCFlower.L","PCFlower","L","RKHS",0.63628
"280",80,"PCTuberskin.C","PCTuberskin","C","RKHS",0.549
"281",80,"PCTuberskin.H","PCTuberskin","H","RKHS",0.4518
"282",80,"PCTuberskin.L","PCTuberskin","L","RKHS",0.51016
"286",80,"SCSprout.C","SCSprout","C","BA",0.25556
"287",80,"SCSprout.H","SCSprout","H","BRR",0.21344
"288",80,"SCSprout.L","SCSprout","L","BA",0.30052
"289",80,"SCTuberflesh.C","SCTuberflesh","C","RKHS",0.21956
"290",80,"SCTuberflesh.H","SCTuberflesh","H","BA",0.08616
"291",80,"SCTuberflesh.L","SCTuberflesh","L","BC",0.35488
"292",80,"SCTuberskin.C","SCTuberskin","C","RKHS",0.19824
"293",80,"SCTuberskin.H","SCTuberskin","H","BRR",0.15732
"294",80,"SCTuberskin.L","SCTuberskin","L","GBLUP",0.37656
"295",80,"StemC.C","StemC","C","BA",0.67392
"296",80,"StemC.H","StemC","H","RKHS",0.47056
"297",80,"StemC.L","StemC","L","BC",0.71752
